States,Year,Quarter,District,Registered_User_Counts
"Andaman, Nicobar Islands",2018,1,North And Middle Andaman District,632
"Andaman, Nicobar Islands",2018,1,South Andaman District,5846
"Andaman, Nicobar Islands",2018,1,Nicobars District,262
"Andaman, Nicobar Islands",2018,2,North And Middle Andaman District,911
"Andaman, Nicobar Islands",2018,2,South Andaman District,8143
"Andaman, Nicobar Islands",2018,2,Nicobars District,351
"Andaman, Nicobar Islands",2018,3,North And Middle Andaman District,1208
"Andaman, Nicobar Islands",2018,3,South Andaman District,10474
"Andaman, Nicobar Islands",2018,3,Nicobars District,467
"Andaman, Nicobar Islands",2018,4,North And Middle Andaman District,1553
"Andaman, Nicobar Islands",2018,4,South Andaman District,13133
"Andaman, Nicobar Islands",2018,4,Nicobars District,536
"Andaman, Nicobar Islands",2019,1,North And Middle Andaman District,2013
"Andaman, Nicobar Islands",2019,1,South Andaman District,15961
"Andaman, Nicobar Islands",2019,1,Nicobars District,622
"Andaman, Nicobar Islands",2019,2,North And Middle Andaman District,2417
"Andaman, Nicobar Islands",2019,2,South Andaman District,18621
"Andaman, Nicobar Islands",2019,2,Nicobars District,693
"Andaman, Nicobar Islands",2019,3,North And Middle Andaman District,2662
"Andaman, Nicobar Islands",2019,3,South Andaman District,20518
"Andaman, Nicobar Islands",2019,3,Nicobars District,751
"Andaman, Nicobar Islands",2019,4,North And Middle Andaman District,2955
"Andaman, Nicobar Islands",2019,4,South Andaman District,22202
"Andaman, Nicobar Islands",2019,4,Nicobars District,803
"Andaman, Nicobar Islands",2020,1,North And Middle Andaman District,3315
"Andaman, Nicobar Islands",2020,1,South Andaman District,24174
"Andaman, Nicobar Islands",2020,1,Nicobars District,879
"Andaman, Nicobar Islands",2020,2,North And Middle Andaman District,4100
"Andaman, Nicobar Islands",2020,2,South Andaman District,27626
"Andaman, Nicobar Islands",2020,2,Nicobars District,984
"Andaman, Nicobar Islands",2020,3,North And Middle Andaman District,5355
"Andaman, Nicobar Islands",2020,3,South Andaman District,34833
"Andaman, Nicobar Islands",2020,3,Nicobars District,1147
"Andaman, Nicobar Islands",2020,4,North And Middle Andaman District,7076
"Andaman, Nicobar Islands",2020,4,South Andaman District,43908
"Andaman, Nicobar Islands",2020,4,Nicobars District,1412
"Andaman, Nicobar Islands",2021,1,North And Middle Andaman District,7833
"Andaman, Nicobar Islands",2021,1,South Andaman District,48352
"Andaman, Nicobar Islands",2021,1,Nicobars District,1573
"Andaman, Nicobar Islands",2021,2,North And Middle Andaman District,8493
"Andaman, Nicobar Islands",2021,2,South Andaman District,51903
"Andaman, Nicobar Islands",2021,2,Nicobars District,1699
"Andaman, Nicobar Islands",2021,3,North And Middle Andaman District,9263
"Andaman, Nicobar Islands",2021,3,South Andaman District,55873
"Andaman, Nicobar Islands",2021,3,Nicobars District,1846
"Andaman, Nicobar Islands",2021,4,North And Middle Andaman District,10002
"Andaman, Nicobar Islands",2021,4,South Andaman District,59807
"Andaman, Nicobar Islands",2021,4,Nicobars District,1971
"Andaman, Nicobar Islands",2022,1,North And Middle Andaman District,10720
"Andaman, Nicobar Islands",2022,1,South Andaman District,63487
"Andaman, Nicobar Islands",2022,1,Nicobars District,2081
"Andaman, Nicobar Islands",2022,2,North And Middle Andaman District,11379
"Andaman, Nicobar Islands",2022,2,South Andaman District,66959
"Andaman, Nicobar Islands",2022,2,Nicobars District,2192
"Andaman, Nicobar Islands",2022,3,North And Middle Andaman District,11897
"Andaman, Nicobar Islands",2022,3,South Andaman District,70445
"Andaman, Nicobar Islands",2022,3,Nicobars District,2300
"Andaman, Nicobar Islands",2022,4,North And Middle Andaman District,12361
"Andaman, Nicobar Islands",2022,4,South Andaman District,73692
"Andaman, Nicobar Islands",2022,4,Nicobars District,2389
Andhra Pradesh,2018,1,East Godavari District,350356
Andhra Pradesh,2018,1,Srikakulam District,143839
Andhra Pradesh,2018,1,Visakhapatnam District,497187
Andhra Pradesh,2018,1,Prakasam District,189949
Andhra Pradesh,2018,1,Anantapur District,241192
Andhra Pradesh,2018,1,Kurnool District,240133
Andhra Pradesh,2018,1,Guntur District,317065
Andhra Pradesh,2018,1,Krishna District,323673
Andhra Pradesh,2018,1,Spsr Nellore District,194475
Andhra Pradesh,2018,1,Vizianagaram District,128905
Andhra Pradesh,2018,1,Ysr District,186800
Andhra Pradesh,2018,1,West Godavari District,213335
Andhra Pradesh,2018,1,Chittoor District,309541
Andhra Pradesh,2018,2,East Godavari District,454398
Andhra Pradesh,2018,2,Srikakulam District,186913
Andhra Pradesh,2018,2,Visakhapatnam District,636052
Andhra Pradesh,2018,2,Prakasam District,253458
Andhra Pradesh,2018,2,Anantapur District,326383
Andhra Pradesh,2018,2,Kurnool District,319313
Andhra Pradesh,2018,2,Guntur District,420326
Andhra Pradesh,2018,2,Krishna District,431965
Andhra Pradesh,2018,2,Spsr Nellore District,261049
Andhra Pradesh,2018,2,Vizianagaram District,167327
Andhra Pradesh,2018,2,Ysr District,248657
Andhra Pradesh,2018,2,West Godavari District,282393
Andhra Pradesh,2018,2,Chittoor District,414306
Andhra Pradesh,2018,3,East Godavari District,558982
Andhra Pradesh,2018,3,Srikakulam District,228456
Andhra Pradesh,2018,3,Visakhapatnam District,769096
Andhra Pradesh,2018,3,Prakasam District,314899
Andhra Pradesh,2018,3,Anantapur District,405855
Andhra Pradesh,2018,3,Kurnool District,394311
Andhra Pradesh,2018,3,Guntur District,518931
Andhra Pradesh,2018,3,Krishna District,537086
Andhra Pradesh,2018,3,Spsr Nellore District,322446
Andhra Pradesh,2018,3,Vizianagaram District,203655
Andhra Pradesh,2018,3,Ysr District,308391
Andhra Pradesh,2018,3,West Godavari District,349782
Andhra Pradesh,2018,3,Chittoor District,515727
Andhra Pradesh,2018,4,East Godavari District,694455
Andhra Pradesh,2018,4,Srikakulam District,284874
Andhra Pradesh,2018,4,Visakhapatnam District,978288
Andhra Pradesh,2018,4,Prakasam District,394962
Andhra Pradesh,2018,4,Anantapur District,510892
Andhra Pradesh,2018,4,Kurnool District,498582
Andhra Pradesh,2018,4,Guntur District,659552
Andhra Pradesh,2018,4,Krishna District,682479
Andhra Pradesh,2018,4,Spsr Nellore District,407495
Andhra Pradesh,2018,4,Vizianagaram District,257824
Andhra Pradesh,2018,4,Ysr District,387058
Andhra Pradesh,2018,4,West Godavari District,435668
Andhra Pradesh,2018,4,Chittoor District,665280
Andhra Pradesh,2019,1,East Godavari District,839277
Andhra Pradesh,2019,1,Srikakulam District,345775
Andhra Pradesh,2019,1,Visakhapatnam District,1174517
Andhra Pradesh,2019,1,Prakasam District,474260
Andhra Pradesh,2019,1,Anantapur District,612162
Andhra Pradesh,2019,1,Kurnool District,599422
Andhra Pradesh,2019,1,Guntur District,802394
Andhra Pradesh,2019,1,Krishna District,833694
Andhra Pradesh,2019,1,Spsr Nellore District,491908
Andhra Pradesh,2019,1,Vizianagaram District,313334
Andhra Pradesh,2019,1,Ysr District,460590
Andhra Pradesh,2019,1,West Godavari District,523372
Andhra Pradesh,2019,1,Chittoor District,812314
Andhra Pradesh,2019,2,East Godavari District,945181
Andhra Pradesh,2019,2,Srikakulam District,392764
Andhra Pradesh,2019,2,Visakhapatnam District,1318740
Andhra Pradesh,2019,2,Prakasam District,539462
Andhra Pradesh,2019,2,Anantapur District,695114
Andhra Pradesh,2019,2,Kurnool District,680118
Andhra Pradesh,2019,2,Guntur District,915256
Andhra Pradesh,2019,2,Krishna District,952300
Andhra Pradesh,2019,2,Spsr Nellore District,558303
Andhra Pradesh,2019,2,Vizianagaram District,355058
Andhra Pradesh,2019,2,Ysr District,519031
Andhra Pradesh,2019,2,West Godavari District,592185
Andhra Pradesh,2019,2,Chittoor District,925491
Andhra Pradesh,2019,3,East Godavari District,1057167
Andhra Pradesh,2019,3,Srikakulam District,437939
Andhra Pradesh,2019,3,Visakhapatnam District,1460464
Andhra Pradesh,2019,3,Prakasam District,598568
Andhra Pradesh,2019,3,Anantapur District,773656
Andhra Pradesh,2019,3,Kurnool District,755024
Andhra Pradesh,2019,3,Guntur District,1026418
Andhra Pradesh,2019,3,Krishna District,1066546
Andhra Pradesh,2019,3,Spsr Nellore District,619592
Andhra Pradesh,2019,3,Vizianagaram District,394375
Andhra Pradesh,2019,3,Ysr District,574109
Andhra Pradesh,2019,3,West Godavari District,662102
Andhra Pradesh,2019,3,Chittoor District,1032733
Andhra Pradesh,2019,4,East Godavari District,1195228
Andhra Pradesh,2019,4,Srikakulam District,496266
Andhra Pradesh,2019,4,Visakhapatnam District,1620235
Andhra Pradesh,2019,4,Prakasam District,673522
Andhra Pradesh,2019,4,Anantapur District,873033
Andhra Pradesh,2019,4,Kurnool District,846885
Andhra Pradesh,2019,4,Guntur District,1158708
Andhra Pradesh,2019,4,Krishna District,1199971
Andhra Pradesh,2019,4,Spsr Nellore District,697154
Andhra Pradesh,2019,4,Vizianagaram District,443810
Andhra Pradesh,2019,4,Ysr District,646642
Andhra Pradesh,2019,4,West Godavari District,750078
Andhra Pradesh,2019,4,Chittoor District,1156351
Andhra Pradesh,2020,1,East Godavari District,1329664
Andhra Pradesh,2020,1,Srikakulam District,552007
Andhra Pradesh,2020,1,Visakhapatnam District,1763581
Andhra Pradesh,2020,1,Prakasam District,748655
Andhra Pradesh,2020,1,Anantapur District,971850
Andhra Pradesh,2020,1,Kurnool District,936293
Andhra Pradesh,2020,1,Guntur District,1289678
Andhra Pradesh,2020,1,Krishna District,1331602
Andhra Pradesh,2020,1,Spsr Nellore District,775440
Andhra Pradesh,2020,1,Vizianagaram District,490683
Andhra Pradesh,2020,1,Ysr District,717865
Andhra Pradesh,2020,1,West Godavari District,843835
Andhra Pradesh,2020,1,Chittoor District,1270907
Andhra Pradesh,2020,2,East Godavari District,1459116
Andhra Pradesh,2020,2,Srikakulam District,608002
Andhra Pradesh,2020,2,Visakhapatnam District,1904719
Andhra Pradesh,2020,2,Prakasam District,830709
Andhra Pradesh,2020,2,Anantapur District,1076953
Andhra Pradesh,2020,2,Kurnool District,1035093
Andhra Pradesh,2020,2,Guntur District,1426271
Andhra Pradesh,2020,2,Krishna District,1459041
Andhra Pradesh,2020,2,Spsr Nellore District,854459
Andhra Pradesh,2020,2,Vizianagaram District,537798
Andhra Pradesh,2020,2,Ysr District,796769
Andhra Pradesh,2020,2,West Godavari District,944829
Andhra Pradesh,2020,2,Chittoor District,1385916
Andhra Pradesh,2020,3,East Godavari District,1601940
Andhra Pradesh,2020,3,Srikakulam District,667858
Andhra Pradesh,2020,3,Visakhapatnam District,2058346
Andhra Pradesh,2020,3,Prakasam District,915240
Andhra Pradesh,2020,3,Anantapur District,1186851
Andhra Pradesh,2020,3,Kurnool District,1132240
Andhra Pradesh,2020,3,Guntur District,1567595
Andhra Pradesh,2020,3,Krishna District,1599289
Andhra Pradesh,2020,3,Spsr Nellore District,937176
Andhra Pradesh,2020,3,Vizianagaram District,587784
Andhra Pradesh,2020,3,Ysr District,877909
Andhra Pradesh,2020,3,West Godavari District,1053674
Andhra Pradesh,2020,3,Chittoor District,1506503
Andhra Pradesh,2020,4,East Godavari District,1746280
Andhra Pradesh,2020,4,Srikakulam District,726761
Andhra Pradesh,2020,4,Visakhapatnam District,2209658
Andhra Pradesh,2020,4,Prakasam District,999462
Andhra Pradesh,2020,4,Anantapur District,1295872
Andhra Pradesh,2020,4,Kurnool District,1230466
Andhra Pradesh,2020,4,Guntur District,1712940
Andhra Pradesh,2020,4,Krishna District,1744028
Andhra Pradesh,2020,4,Spsr Nellore District,1022944
Andhra Pradesh,2020,4,Vizianagaram District,634462
Andhra Pradesh,2020,4,Ysr District,959182
Andhra Pradesh,2020,4,West Godavari District,1163179
Andhra Pradesh,2020,4,Chittoor District,1631331
Andhra Pradesh,2021,1,East Godavari District,1878769
Andhra Pradesh,2021,1,Srikakulam District,782604
Andhra Pradesh,2021,1,Visakhapatnam District,2368081
Andhra Pradesh,2021,1,Prakasam District,1075936
Andhra Pradesh,2021,1,Anantapur District,1394849
Andhra Pradesh,2021,1,Kurnool District,1323411
Andhra Pradesh,2021,1,Guntur District,1843237
Andhra Pradesh,2021,1,Krishna District,1876458
Andhra Pradesh,2021,1,Spsr Nellore District,1100541
Andhra Pradesh,2021,1,Vizianagaram District,681621
Andhra Pradesh,2021,1,Ysr District,1032689
Andhra Pradesh,2021,1,West Godavari District,1254117
Andhra Pradesh,2021,1,Chittoor District,1751420
Andhra Pradesh,2021,2,East Godavari District,2006272
Andhra Pradesh,2021,2,Srikakulam District,837958
Andhra Pradesh,2021,2,Visakhapatnam District,2526830
Andhra Pradesh,2021,2,Prakasam District,1151232
Andhra Pradesh,2021,2,Anantapur District,1492738
Andhra Pradesh,2021,2,Kurnool District,1415585
Andhra Pradesh,2021,2,Guntur District,1968681
Andhra Pradesh,2021,2,Krishna District,2002662
Andhra Pradesh,2021,2,Spsr Nellore District,1176334
Andhra Pradesh,2021,2,Vizianagaram District,729509
Andhra Pradesh,2021,2,Ysr District,1103004
Andhra Pradesh,2021,2,West Godavari District,1339377
Andhra Pradesh,2021,2,Chittoor District,1870723
Andhra Pradesh,2021,3,East Godavari District,2150622
Andhra Pradesh,2021,3,Srikakulam District,902008
Andhra Pradesh,2021,3,Visakhapatnam District,2707931
Andhra Pradesh,2021,3,Prakasam District,1239147
Andhra Pradesh,2021,3,Anantapur District,1606735
Andhra Pradesh,2021,3,Kurnool District,1522196
Andhra Pradesh,2021,3,Guntur District,2110878
Andhra Pradesh,2021,3,Krishna District,2145423
Andhra Pradesh,2021,3,Spsr Nellore District,1263550
Andhra Pradesh,2021,3,Vizianagaram District,784444
Andhra Pradesh,2021,3,Ysr District,1183377
Andhra Pradesh,2021,3,West Godavari District,1436576
Andhra Pradesh,2021,3,Chittoor District,2007011
Andhra Pradesh,2021,4,East Godavari District,2294347
Andhra Pradesh,2021,4,Srikakulam District,965335
Andhra Pradesh,2021,4,Visakhapatnam District,2888774
Andhra Pradesh,2021,4,Prakasam District,1325728
Andhra Pradesh,2021,4,Anantapur District,1719437
Andhra Pradesh,2021,4,Kurnool District,1628242
Andhra Pradesh,2021,4,Guntur District,2252443
Andhra Pradesh,2021,4,Krishna District,2288148
Andhra Pradesh,2021,4,Spsr Nellore District,1349290
Andhra Pradesh,2021,4,Vizianagaram District,839606
Andhra Pradesh,2021,4,Ysr District,1262963
Andhra Pradesh,2021,4,West Godavari District,1532898
Andhra Pradesh,2021,4,Chittoor District,2141818
Andhra Pradesh,2022,1,East Godavari District,2432305
Andhra Pradesh,2022,1,Srikakulam District,1027283
Andhra Pradesh,2022,1,Visakhapatnam District,3061324
Andhra Pradesh,2022,1,Prakasam District,1408929
Andhra Pradesh,2022,1,Anantapur District,1827094
Andhra Pradesh,2022,1,Kurnool District,1729513
Andhra Pradesh,2022,1,Guntur District,2387051
Andhra Pradesh,2022,1,Krishna District,2423373
Andhra Pradesh,2022,1,Spsr Nellore District,1431664
Andhra Pradesh,2022,1,Vizianagaram District,892889
Andhra Pradesh,2022,1,Ysr District,1339782
Andhra Pradesh,2022,1,West Godavari District,1626039
Andhra Pradesh,2022,1,Chittoor District,2270705
Andhra Pradesh,2022,2,East Godavari District,2564165
Andhra Pradesh,2022,2,Srikakulam District,1086164
Andhra Pradesh,2022,2,Visakhapatnam District,3226029
Andhra Pradesh,2022,2,Prakasam District,1487589
Andhra Pradesh,2022,2,Anantapur District,1928213
Andhra Pradesh,2022,2,Kurnool District,1825280
Andhra Pradesh,2022,2,Guntur District,2514794
Andhra Pradesh,2022,2,Krishna District,2552107
Andhra Pradesh,2022,2,Spsr Nellore District,1509927
Andhra Pradesh,2022,2,Vizianagaram District,943242
Andhra Pradesh,2022,2,Ysr District,1412848
Andhra Pradesh,2022,2,West Godavari District,1714357
Andhra Pradesh,2022,2,Chittoor District,2392549
Andhra Pradesh,2022,3,East Godavari District,2702234
Andhra Pradesh,2022,3,Srikakulam District,1147016
Andhra Pradesh,2022,3,Visakhapatnam District,3397514
Andhra Pradesh,2022,3,Prakasam District,1567520
Andhra Pradesh,2022,3,Anantapur District,2030824
Andhra Pradesh,2022,3,Kurnool District,1924127
Andhra Pradesh,2022,3,Guntur District,2647100
Andhra Pradesh,2022,3,Krishna District,2685215
Andhra Pradesh,2022,3,Spsr Nellore District,1588875
Andhra Pradesh,2022,3,Vizianagaram District,995141
Andhra Pradesh,2022,3,Ysr District,1487140
Andhra Pradesh,2022,3,West Godavari District,1805967
Andhra Pradesh,2022,3,Chittoor District,2517657
Andhra Pradesh,2022,4,East Godavari District,2835087
Andhra Pradesh,2022,4,Srikakulam District,1204785
Andhra Pradesh,2022,4,Visakhapatnam District,3566854
Andhra Pradesh,2022,4,Prakasam District,1642503
Andhra Pradesh,2022,4,Anantapur District,2128066
Andhra Pradesh,2022,4,Kurnool District,2018290
Andhra Pradesh,2022,4,Guntur District,2774365
Andhra Pradesh,2022,4,Krishna District,2813645
Andhra Pradesh,2022,4,Spsr Nellore District,1663684
Andhra Pradesh,2022,4,Vizianagaram District,1044490
Andhra Pradesh,2022,4,Ysr District,1556901
Andhra Pradesh,2022,4,West Godavari District,1893310
Andhra Pradesh,2022,4,Chittoor District,2636036
Arunachal Pradesh,2018,1,Lower Subansiri District,498
Arunachal Pradesh,2018,1,Tirap District,557
Arunachal Pradesh,2018,1,Papum Pare District,7649
Arunachal Pradesh,2018,1,Anjaw District,278
Arunachal Pradesh,2018,1,Lower Siang District,270
Arunachal Pradesh,2018,1,Dibang Valley District,66
Arunachal Pradesh,2018,1,West Kameng District,2202
Arunachal Pradesh,2018,1,Shi Yomi District,49
Arunachal Pradesh,2018,1,East Kameng District,222
Arunachal Pradesh,2018,1,Lohit District,1207
Arunachal Pradesh,2018,1,Lepa Rada District,210
Arunachal Pradesh,2018,1,Lower Dibang Valley District,601
Arunachal Pradesh,2018,1,Longding District,256
Arunachal Pradesh,2018,1,West Siang District,846
Arunachal Pradesh,2018,1,Kamle District,22
Arunachal Pradesh,2018,1,Upper Siang District,301
Arunachal Pradesh,2018,1,Kurung Kumey District,97
Arunachal Pradesh,2018,1,Siang District,192
Arunachal Pradesh,2018,1,Kra Daadi District,88
Arunachal Pradesh,2018,1,Changlang District,1208
Arunachal Pradesh,2018,1,Pakke Kessang District,39
Arunachal Pradesh,2018,1,East Siang District,1803
Arunachal Pradesh,2018,1,Upper Subansiri District,572
Arunachal Pradesh,2018,1,Tawang District,1525
Arunachal Pradesh,2018,1,Namsai District,737
Arunachal Pradesh,2018,2,Lower Subansiri District,724
Arunachal Pradesh,2018,2,Tirap District,856
Arunachal Pradesh,2018,2,Papum Pare District,11418
Arunachal Pradesh,2018,2,Anjaw District,410
Arunachal Pradesh,2018,2,Lower Siang District,494
Arunachal Pradesh,2018,2,Dibang Valley District,112
Arunachal Pradesh,2018,2,West Kameng District,3442
Arunachal Pradesh,2018,2,Shi Yomi District,80
Arunachal Pradesh,2018,2,East Kameng District,343
Arunachal Pradesh,2018,2,Lohit District,1898
Arunachal Pradesh,2018,2,Lepa Rada District,318
Arunachal Pradesh,2018,2,Lower Dibang Valley District,893
Arunachal Pradesh,2018,2,Longding District,412
Arunachal Pradesh,2018,2,West Siang District,1224
Arunachal Pradesh,2018,2,Kamle District,37
Arunachal Pradesh,2018,2,Upper Siang District,481
Arunachal Pradesh,2018,2,Kurung Kumey District,153
Arunachal Pradesh,2018,2,Siang District,293
Arunachal Pradesh,2018,2,Kra Daadi District,144
Arunachal Pradesh,2018,2,Changlang District,2014
Arunachal Pradesh,2018,2,Pakke Kessang District,66
Arunachal Pradesh,2018,2,East Siang District,2646
Arunachal Pradesh,2018,2,Upper Subansiri District,883
Arunachal Pradesh,2018,2,Tawang District,2266
Arunachal Pradesh,2018,2,Namsai District,1276
Arunachal Pradesh,2018,3,Lower Subansiri District,1033
Arunachal Pradesh,2018,3,Tirap District,1226
Arunachal Pradesh,2018,3,Papum Pare District,16009
Arunachal Pradesh,2018,3,Anjaw District,542
Arunachal Pradesh,2018,3,Lower Siang District,717
Arunachal Pradesh,2018,3,Dibang Valley District,145
Arunachal Pradesh,2018,3,West Kameng District,4765
Arunachal Pradesh,2018,3,Shi Yomi District,118
Arunachal Pradesh,2018,3,East Kameng District,521
Arunachal Pradesh,2018,3,Lohit District,2612
Arunachal Pradesh,2018,3,Lepa Rada District,431
Arunachal Pradesh,2018,3,Lower Dibang Valley District,1286
Arunachal Pradesh,2018,3,Longding District,644
Arunachal Pradesh,2018,3,West Siang District,1652
Arunachal Pradesh,2018,3,Kamle District,65
Arunachal Pradesh,2018,3,Upper Siang District,646
Arunachal Pradesh,2018,3,Kurung Kumey District,222
Arunachal Pradesh,2018,3,Siang District,373
Arunachal Pradesh,2018,3,Kra Daadi District,190
Arunachal Pradesh,2018,3,Changlang District,2889
Arunachal Pradesh,2018,3,Pakke Kessang District,103
Arunachal Pradesh,2018,3,East Siang District,3590
Arunachal Pradesh,2018,3,Upper Subansiri District,1169
Arunachal Pradesh,2018,3,Tawang District,3112
Arunachal Pradesh,2018,3,Namsai District,1862
Arunachal Pradesh,2018,4,Lower Subansiri District,1459
Arunachal Pradesh,2018,4,Tirap District,1684
Arunachal Pradesh,2018,4,Papum Pare District,21342
Arunachal Pradesh,2018,4,Anjaw District,744
Arunachal Pradesh,2018,4,Lower Siang District,936
Arunachal Pradesh,2018,4,Dibang Valley District,178
Arunachal Pradesh,2018,4,West Kameng District,6492
Arunachal Pradesh,2018,4,Shi Yomi District,144
Arunachal Pradesh,2018,4,East Kameng District,691
Arunachal Pradesh,2018,4,Lohit District,3588
Arunachal Pradesh,2018,4,Lepa Rada District,548
Arunachal Pradesh,2018,4,Lower Dibang Valley District,1827
Arunachal Pradesh,2018,4,Longding District,923
Arunachal Pradesh,2018,4,West Siang District,2117
Arunachal Pradesh,2018,4,Kamle District,109
Arunachal Pradesh,2018,4,Upper Siang District,868
Arunachal Pradesh,2018,4,Kurung Kumey District,321
Arunachal Pradesh,2018,4,Siang District,483
Arunachal Pradesh,2018,4,Kra Daadi District,255
Arunachal Pradesh,2018,4,Changlang District,4036
Arunachal Pradesh,2018,4,Pakke Kessang District,138
Arunachal Pradesh,2018,4,East Siang District,4813
Arunachal Pradesh,2018,4,Upper Subansiri District,1576
Arunachal Pradesh,2018,4,Tawang District,4085
Arunachal Pradesh,2018,4,Namsai District,2495
Arunachal Pradesh,2019,1,Lower Subansiri District,1879
Arunachal Pradesh,2019,1,Tirap District,2082
Arunachal Pradesh,2019,1,Papum Pare District,26298
Arunachal Pradesh,2019,1,Anjaw District,934
Arunachal Pradesh,2019,1,Lower Siang District,1123
Arunachal Pradesh,2019,1,Dibang Valley District,211
Arunachal Pradesh,2019,1,West Kameng District,8115
Arunachal Pradesh,2019,1,Shi Yomi District,186
Arunachal Pradesh,2019,1,East Kameng District,876
Arunachal Pradesh,2019,1,Lohit District,4416
Arunachal Pradesh,2019,1,Lepa Rada District,710
Arunachal Pradesh,2019,1,Lower Dibang Valley District,2314
Arunachal Pradesh,2019,1,Longding District,1152
Arunachal Pradesh,2019,1,West Siang District,2656
Arunachal Pradesh,2019,1,Kamle District,141
Arunachal Pradesh,2019,1,Upper Siang District,1125
Arunachal Pradesh,2019,1,Kurung Kumey District,385
Arunachal Pradesh,2019,1,Siang District,651
Arunachal Pradesh,2019,1,Kra Daadi District,350
Arunachal Pradesh,2019,1,Changlang District,5210
Arunachal Pradesh,2019,1,Pakke Kessang District,162
Arunachal Pradesh,2019,1,East Siang District,5899
Arunachal Pradesh,2019,1,Upper Subansiri District,1906
Arunachal Pradesh,2019,1,Tawang District,5023
Arunachal Pradesh,2019,1,Namsai District,3153
Arunachal Pradesh,2019,2,Lower Subansiri District,2463
Arunachal Pradesh,2019,2,Tirap District,2697
Arunachal Pradesh,2019,2,Papum Pare District,32800
Arunachal Pradesh,2019,2,Anjaw District,1175
Arunachal Pradesh,2019,2,Lower Siang District,1457
Arunachal Pradesh,2019,2,Dibang Valley District,241
Arunachal Pradesh,2019,2,West Kameng District,9782
Arunachal Pradesh,2019,2,Shi Yomi District,225
Arunachal Pradesh,2019,2,East Kameng District,1075
Arunachal Pradesh,2019,2,Lohit District,5485
Arunachal Pradesh,2019,2,Lepa Rada District,903
Arunachal Pradesh,2019,2,Lower Dibang Valley District,2842
Arunachal Pradesh,2019,2,Longding District,1420
Arunachal Pradesh,2019,2,West Siang District,3393
Arunachal Pradesh,2019,2,Kamle District,212
Arunachal Pradesh,2019,2,Upper Siang District,1372
Arunachal Pradesh,2019,2,Kurung Kumey District,481
Arunachal Pradesh,2019,2,Siang District,831
Arunachal Pradesh,2019,2,Kra Daadi District,440
Arunachal Pradesh,2019,2,Changlang District,6884
Arunachal Pradesh,2019,2,Pakke Kessang District,211
Arunachal Pradesh,2019,2,East Siang District,7319
Arunachal Pradesh,2019,2,Upper Subansiri District,2355
Arunachal Pradesh,2019,2,Tawang District,5908
Arunachal Pradesh,2019,2,Namsai District,3914
Arunachal Pradesh,2019,3,Lower Subansiri District,2928
Arunachal Pradesh,2019,3,Tirap District,3099
Arunachal Pradesh,2019,3,Papum Pare District,38845
Arunachal Pradesh,2019,3,Anjaw District,1358
Arunachal Pradesh,2019,3,Lower Siang District,1689
Arunachal Pradesh,2019,3,Dibang Valley District,271
Arunachal Pradesh,2019,3,West Kameng District,11186
Arunachal Pradesh,2019,3,Shi Yomi District,239
Arunachal Pradesh,2019,3,East Kameng District,1304
Arunachal Pradesh,2019,3,Lohit District,6421
Arunachal Pradesh,2019,3,Lepa Rada District,1064
Arunachal Pradesh,2019,3,Lower Dibang Valley District,3398
Arunachal Pradesh,2019,3,Longding District,1634
Arunachal Pradesh,2019,3,West Siang District,4101
Arunachal Pradesh,2019,3,Kamle District,258
Arunachal Pradesh,2019,3,Upper Siang District,1486
Arunachal Pradesh,2019,3,Kurung Kumey District,572
Arunachal Pradesh,2019,3,Siang District,948
Arunachal Pradesh,2019,3,Kra Daadi District,524
Arunachal Pradesh,2019,3,Changlang District,8145
Arunachal Pradesh,2019,3,Pakke Kessang District,244
Arunachal Pradesh,2019,3,East Siang District,8571
Arunachal Pradesh,2019,3,Upper Subansiri District,2748
Arunachal Pradesh,2019,3,Tawang District,6553
Arunachal Pradesh,2019,3,Namsai District,4563
Arunachal Pradesh,2019,4,Lower Subansiri District,3564
Arunachal Pradesh,2019,4,Tirap District,3605
Arunachal Pradesh,2019,4,Papum Pare District,44746
Arunachal Pradesh,2019,4,Anjaw District,1564
Arunachal Pradesh,2019,4,Lower Siang District,1921
Arunachal Pradesh,2019,4,Dibang Valley District,289
Arunachal Pradesh,2019,4,West Kameng District,12562
Arunachal Pradesh,2019,4,Shi Yomi District,266
Arunachal Pradesh,2019,4,East Kameng District,1623
Arunachal Pradesh,2019,4,Lohit District,7386
Arunachal Pradesh,2019,4,Lepa Rada District,1263
Arunachal Pradesh,2019,4,Lower Dibang Valley District,3944
Arunachal Pradesh,2019,4,Longding District,1847
Arunachal Pradesh,2019,4,West Siang District,4773
Arunachal Pradesh,2019,4,Kamle District,323
Arunachal Pradesh,2019,4,Upper Siang District,1804
Arunachal Pradesh,2019,4,Kurung Kumey District,653
Arunachal Pradesh,2019,4,Siang District,1131
Arunachal Pradesh,2019,4,Kra Daadi District,603
Arunachal Pradesh,2019,4,Changlang District,9662
Arunachal Pradesh,2019,4,Pakke Kessang District,296
Arunachal Pradesh,2019,4,East Siang District,9859
Arunachal Pradesh,2019,4,Upper Subansiri District,3144
Arunachal Pradesh,2019,4,Tawang District,7303
Arunachal Pradesh,2019,4,Namsai District,5190
Arunachal Pradesh,2020,1,Lower Subansiri District,4351
Arunachal Pradesh,2020,1,Tirap District,4261
Arunachal Pradesh,2020,1,Papum Pare District,51342
Arunachal Pradesh,2020,1,Anjaw District,1747
