States,Year,Quarter,Trans_Type,Trans_Counts,Amount
"Andaman , Nicobar Islands",2021,4,Merchant payments,210164,322842314.6
"Andaman , Nicobar Islands",2021,4,"Recharge , bill payments",135608,59243518.11
"Andaman , Nicobar Islands",2021,4,Financial Services,1718,3137965.167
"Andaman , Nicobar Islands",2021,4,Others,2855,2453640.143
"Andaman , Nicobar Islands",2022,1,Peer to Peer Payments,342649,1682328506
"Andaman , Nicobar Islands",2022,1,Merchant payments,284298,370091558.7
"Andaman , Nicobar Islands",2022,1,"Recharge , bill payments",163401,71300133.66
"Andaman , Nicobar Islands",2022,1,Financial Services,1757,2869682.023
"Andaman , Nicobar Islands",2022,1,Others,2643,2440321.982
"Andaman , Nicobar Islands",2022,2,Merchant payments,449540,510838980.9
"Andaman , Nicobar Islands",2022,2,Peer to Peer Payments,437606,2088309073
"Andaman , Nicobar Islands",2022,2,"Recharge , bill payments",179515,82232936.62
"Andaman , Nicobar Islands",2022,2,Financial Services,1448,2089862.393
"Andaman , Nicobar Islands",2022,2,Others,3108,2449496.708
"Andaman , Nicobar Islands",2022,3,Merchant payments,716105,693438186.3
"Andaman , Nicobar Islands",2022,3,Peer to Peer Payments,622217,2514535155
"Andaman , Nicobar Islands",2022,3,"Recharge , bill payments",240766,97748065.63
"Andaman , Nicobar Islands",2022,3,Financial Services,1814,2166304.978
"Andaman , Nicobar Islands",2022,3,Others,3477,2744060.671
"Andaman , Nicobar Islands",2022,4,Merchant payments,956536,906365300.7
"Andaman , Nicobar Islands",2022,4,Peer to Peer Payments,768758,2961630585
"Andaman , Nicobar Islands",2022,4,"Recharge , bill payments",256050,110037119.7
"Andaman , Nicobar Islands",2022,4,Financial Services,2499,3533987.23
"Andaman , Nicobar Islands",2022,4,Others,3692,3107412.044
Andhra Pradesh,2018,1,"Recharge , bill payments",5027448,892293975.7
Andhra Pradesh,2018,1,Peer to Peer Payments,3049646,10524250283
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2
Andhra Pradesh,2018,1,Financial Services,204305,44808449.76
Andhra Pradesh,2018,1,Others,395514,287626043
Andhra Pradesh,2018,2,"Recharge , bill payments",6456387,1598591488
Andhra Pradesh,2018,2,Peer to Peer Payments,4745000,20451493099
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.9
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81
Andhra Pradesh,2018,2,Others,322063,328092346.6
Andhra Pradesh,2018,3,Peer to Peer Payments,16129591,32738630445
Andhra Pradesh,2018,3,"Recharge , bill payments",7542005,1949098147
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57
Andhra Pradesh,2018,3,Others,348725,284248675.6
Andhra Pradesh,2018,4,Peer to Peer Payments,17580086,47011639726
Andhra Pradesh,2018,4,"Recharge , bill payments",9767083,2418164314
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585889
Andhra Pradesh,2018,4,Financial Services,400837,57178116.4
Andhra Pradesh,2018,4,Others,389411,315211361.3
Andhra Pradesh,2019,1,Peer to Peer Payments,37420988,77524329742
Andhra Pradesh,2019,1,"Recharge , bill payments",14022264,3480641602
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770
Andhra Pradesh,2019,1,Financial Services,416325,47150177.53
Andhra Pradesh,2019,1,Others,361263,284937624.5
Andhra Pradesh,2019,2,Peer to Peer Payments,32494402,1.04E+11
