States,Year,Quarter,Trans_Type,Trans_Counts,Amount
Dadra   Nagarhaveli   Daman   Diu,2021,2,Peer to Peer Payments,843550,2512913026
Dadra   Nagarhaveli   Daman   Diu,2021,2,Merchant payments,802899,430487473.9
Dadra   Nagarhaveli   Daman   Diu,2021,2,"Recharge , bill payments",471136,208762964
Dadra   Nagarhaveli   Daman   Diu,2021,2,Financial Services,1826,1763792.651
Dadra   Nagarhaveli   Daman   Diu,2021,2,Others,5672,3741204.398
Dadra   Nagarhaveli   Daman   Diu,2021,3,Merchant payments,1312241,706774071.9
Dadra   Nagarhaveli   Daman   Diu,2021,3,Peer to Peer Payments,1262732,3339347400
Dadra   Nagarhaveli   Daman   Diu,2021,3,"Recharge , bill payments",544322,253199754.9
Dadra   Nagarhaveli   Daman   Diu,2021,3,Financial Services,2065,2252116.636
Dadra   Nagarhaveli   Daman   Diu,2021,3,Others,8110,4365759.278
Dadra   Nagarhaveli   Daman   Diu,2021,4,Merchant payments,2013673,1058989463
Dadra   Nagarhaveli   Daman   Diu,2021,4,Peer to Peer Payments,1577168,4202291072
Dadra   Nagarhaveli   Daman   Diu,2021,4,"Recharge , bill payments",551618,294991582.2
Dadra   Nagarhaveli   Daman   Diu,2021,4,Financial Services,2909,3159306.418
Dadra   Nagarhaveli   Daman   Diu,2021,4,Others,11717,6407962.869
Dadra   Nagarhaveli   Daman   Diu,2022,1,Merchant payments,2507246,1227972830
Dadra   Nagarhaveli   Daman   Diu,2022,1,Peer to Peer Payments,1745454,4674787018
Dadra   Nagarhaveli   Daman   Diu,2022,1,"Recharge , bill payments",538134,326296370.8
Dadra   Nagarhaveli   Daman   Diu,2022,1,Financial Services,2574,2661345.553
Dadra   Nagarhaveli   Daman   Diu,2022,1,Others,9395,5330803.647
Dadra   Nagarhaveli   Daman   Diu,2022,2,Merchant payments,3346697,1536859131
Dadra   Nagarhaveli   Daman   Diu,2022,2,Peer to Peer Payments,1861799,5078832141
Dadra   Nagarhaveli   Daman   Diu,2022,2,"Recharge , bill payments",539562,372921225.4
Dadra   Nagarhaveli   Daman   Diu,2022,2,Financial Services,1849,2131607.723
Dadra   Nagarhaveli   Daman   Diu,2022,2,Others,9864,4415675.719
Dadra   Nagarhaveli   Daman   Diu,2022,3,Merchant payments,3777156,1705567002
Dadra   Nagarhaveli   Daman   Diu,2022,3,Peer to Peer Payments,2086741,5382949598
Dadra   Nagarhaveli   Daman   Diu,2022,3,"Recharge , bill payments",592431,425206924.5
Dadra   Nagarhaveli   Daman   Diu,2022,3,Financial Services,2237,3194409.94
Dadra   Nagarhaveli   Daman   Diu,2022,3,Others,7056,3729425.463
Dadra   Nagarhaveli   Daman   Diu,2022,4,Merchant payments,4415771,1889046056
Dadra   Nagarhaveli   Daman   Diu,2022,4,Peer to Peer Payments,2215052,5737539058
Dadra   Nagarhaveli   Daman   Diu,2022,4,"Recharge , bill payments",548795,426040023.1
Dadra   Nagarhaveli   Daman   Diu,2022,4,Financial Services,2495,3169199.263
Dadra   Nagarhaveli   Daman   Diu,2022,4,Others,7472,3846409.106
Delhi,2018,1,"Recharge , bill payments",3947297,1320559613
Delhi,2018,1,Peer to Peer Payments,2380820,9125685135
Delhi,2018,1,Merchant payments,339809,375393115.2
Delhi,2018,1,Financial Services,136240,45588429.27
Delhi,2018,1,Others,318588,344277514.8
Delhi,2018,2,"Recharge , bill payments",4511737,2078183616
Delhi,2018,2,Peer to Peer Payments,3542716,14348179103
Delhi,2018,2,Merchant payments,837001,631597790.6
Delhi,2018,2,Financial Services,205991,66584728.2
Delhi,2018,2,Others,276278,321754664.5
Delhi,2018,3,Peer to Peer Payments,8557153,22670122889
Delhi,2018,3,"Recharge , bill payments",5305635,3261844271
Delhi,2018,3,Merchant payments,3808395,1048422634
Delhi,2018,3,Financial Services,274526,45051151.35
Delhi,2018,3,Others,601339,350405916.2
Delhi,2018,4,Peer to Peer Payments,9973249,32389252495
Delhi,2018,4,Merchant payments,9958967,2738429839
Delhi,2018,4,"Recharge , bill payments",7483633,3961160543
Delhi,2018,4,Financial Services,265004,58162003.44
Delhi,2018,4,Others,1506866,575852739
Delhi,2019,1,Peer to Peer Payments,20216287,48250023721
Delhi,2019,1,Merchant payments,13875931,3996618720
Delhi,2019,1,"Recharge , bill payments",10744978,5521320539
Delhi,2019,1,Financial Services,223095,30997039.7
Delhi,2019,1,Others,1947036,670171769.7
Delhi,2019,2,Merchant payments,20891431,6816878923
Delhi,2019,2,Peer to Peer Payments,20570311,65953571241
Delhi,2019,2,"Recharge , bill payments",12869453,8035701902
Delhi,2019,2,Financial Services,137774,33985068.68
Delhi,2019,2,Others,2702543,866678928.4
Delhi,2019,3,Merchant payments,29453368,9857221392
Delhi,2019,3,Peer to Peer Payments,25201978,81904443496
Delhi,2019,3,"Recharge , bill payments",11133404,10406524193
Delhi,2019,3,Financial Services,92061,27952186.99
Delhi,2019,3,Others,3657065,1000670778
Delhi,2019,4,Peer to Peer Payments,33040093,1.06E+11
Delhi,2019,4,Merchant payments,32537378,12864577363
Delhi,2019,4,"Recharge , bill payments",11609898,9500486081
Delhi,2019,4,Financial Services,57063,21512527.97
Delhi,2019,4,Others,3500565,779367300.5
Delhi,2020,1,Merchant payments,33951545,14470782771
Delhi,2020,1,Peer to Peer Payments,32410795,1.09E+11
Delhi,2020,1,"Recharge , bill payments",12822919,9498791148
Delhi,2020,1,Financial Services,46529,39908838.25
Delhi,2020,1,Others,2515816,619460879
Delhi,2020,2,Peer to Peer Payments,27155938,86227124454
Delhi,2020,2,Merchant payments,24963931,12708327044
Delhi,2020,2,"Recharge , bill payments",13568505,8699886044
Delhi,2020,2,Financial Services,64790,75405868.16
Delhi,2020,2,Others,288854,162694793.2
Delhi,2020,3,Peer to Peer Payments,41498638,1.40E+11
Delhi,2020,3,Merchant payments,40973792,21858176583
Delhi,2020,3,"Recharge , bill payments",13448341,12883226305
Delhi,2020,3,Financial Services,85689,114341865.3
Delhi,2020,3,Others,485401,234194502.8
Delhi,2020,4,Merchant payments,54581166,31106554563
Delhi,2020,4,Peer to Peer Payments,49631928,1.72E+11
Delhi,2020,4,"Recharge , bill payments",14862946,12921793577
Delhi,2020,4,Financial Services,114862,160007919.8
Delhi,2020,4,Others,1349515,530676173.3
Delhi,2021,1,Merchant payments,72615587,39861532639
Delhi,2021,1,Peer to Peer Payments,61957428,2.11E+11
Delhi,2021,1,"Recharge , bill payments",21164274,15447408659
Delhi,2021,1,Financial Services,153039,203106852.4
Delhi,2021,1,Others,1468676,592745151.9
Delhi,2021,2,Merchant payments,75620295,42933366743
Delhi,2021,2,Peer to Peer Payments,68497718,2.23E+11
Delhi,2021,2,"Recharge , bill payments",25026678,15310096463
Delhi,2021,2,Financial Services,158170,190019761.5
Delhi,2021,2,Others,854403,472659189.3
Delhi,2021,3,Merchant payments,115250887,64006915631
Delhi,2021,3,Peer to Peer Payments,93292876,2.98E+11
Delhi,2021,3,"Recharge , bill payments",28427032,20934734872
Delhi,2021,3,Financial Services,144460,220660990.2
Delhi,2021,3,Others,1645353,690472449.1
Delhi,2021,4,Merchant payments,149204611,88990516304
Delhi,2021,4,Peer to Peer Payments,112380292,3.77E+11
Delhi,2021,4,"Recharge , bill payments",30127352,22290161823
Delhi,2021,4,Financial Services,199280,287950130.2
Delhi,2021,4,Others,771824,569713470.7
Delhi,2022,1,Merchant payments,174454937,98212381476
Delhi,2022,1,Peer to Peer Payments,125111881,4.15E+11
Delhi,2022,1,"Recharge , bill payments",29435981,22482865573
Delhi,2022,1,Financial Services,195184,271039329.1
Delhi,2022,1,Others,1801878,693588769.4
Delhi,2022,2,Merchant payments,233412802,1.22E+11
Delhi,2022,2,Peer to Peer Payments,143447534,4.81E+11
Delhi,2022,2,"Recharge , bill payments",32971294,26876059610
Delhi,2022,2,Financial Services,160827,209425798.8
Delhi,2022,2,Others,641727,426563425.7
Delhi,2022,3,Merchant payments,276635347,1.34E+11
Delhi,2022,3,Peer to Peer Payments,160580425,5.09E+11
Delhi,2022,3,"Recharge , bill payments",37572389,33177115465
Delhi,2022,3,Financial Services,195218,265479580.4
Delhi,2022,3,Others,608782,448676465.8
Delhi,2022,4,Merchant payments,305621913,1.53E+11
Delhi,2022,4,Peer to Peer Payments,171970100,5.59E+11
Delhi,2022,4,"Recharge , bill payments",36775874,31954251758
Delhi,2022,4,Financial Services,228639,299454652.8
Delhi,2022,4,Others,606931,477098950.6
Goa,2018,1,"Recharge , bill payments",85991,18273814.16
Goa,2018,1,Peer to Peer Payments,59651,268175048.1
Goa,2018,1,Merchant payments,7880,11036031.74
Goa,2018,1,Financial Services,1191,520105.6424
Goa,2018,1,Others,6184,5851742.732
Goa,2018,2,"Recharge , bill payments",120943,30994284.17
Goa,2018,2,Peer to Peer Payments,87878,419492232.5
Goa,2018,2,Merchant payments,12456,20162855.71
Goa,2018,2,Financial Services,1903,733429.4273
Goa,2018,2,Others,6395,7221023.531
Goa,2018,3,"Recharge , bill payments",158797,40314972.94
Goa,2018,3,Peer to Peer Payments,150297,639468418.1
Goa,2018,3,Merchant payments,21587,26634198.18
Goa,2018,3,Financial Services,1867,468171.3648
Goa,2018,3,Others,6963,6281208.621
Goa,2018,4,Peer to Peer Payments,246426,1021902315
Goa,2018,4,"Recharge , bill payments",212122,54832855.89
Goa,2018,4,Merchant payments,45586,66666113.92
Goa,2018,4,Financial Services,2523,723599.2328
Goa,2018,4,Others,8098,8880194.431
Goa,2019,1,Peer to Peer Payments,378848,1310759848
Goa,2019,1,"Recharge , bill payments",275277,78212835.04
Goa,2019,1,Merchant payments,74527,75946974.41
Goa,2019,1,Financial Services,2013,499592.0967
Goa,2019,1,Others,8147,9904147.91
Goa,2019,2,Peer to Peer Payments,373759,1391933791
Goa,2019,2,"Recharge , bill payments",278060,93218689.42
Goa,2019,2,Merchant payments,104592,92873008.65
Goa,2019,2,Financial Services,1211,515859.8077
Goa,2019,2,Others,10819,13325754.76
Goa,2019,3,Peer to Peer Payments,475178,1704668027
Goa,2019,3,"Recharge , bill payments",453806,157952855
Goa,2019,3,Merchant payments,150578,123948570.6
Goa,2019,3,Financial Services,1510,1282344.844
Goa,2019,3,Others,11344,12515394.12
Goa,2019,4,Peer to Peer Payments,698728,2484453030
Goa,2019,4,"Recharge , bill payments",552421,205602115.1
Goa,2019,4,Merchant payments,250893,218404664.9
Goa,2019,4,Financial Services,1497,649712.8451
Goa,2019,4,Others,11733,14350825.33
Goa,2020,1,Peer to Peer Payments,817198,2851686769
Goa,2020,1,"Recharge , bill payments",678079,244739382.2
Goa,2020,1,Merchant payments,373110,298421548.1
Goa,2020,1,Financial Services,1762,1816477.569
Goa,2020,1,Others,11088,13707055.39
Goa,2020,2,"Recharge , bill payments",758617,241196540.9
Goa,2020,2,Peer to Peer Payments,493326,1766723888
Goa,2020,2,Merchant payments,221358,168591711.9
Goa,2020,2,Financial Services,3081,3328361.318
Goa,2020,2,Others,5710,3775927.611
Goa,2020,3,Peer to Peer Payments,759351,2723430713
Goa,2020,3,"Recharge , bill payments",696770,280187505
Goa,2020,3,Merchant payments,446880,353193881.5
Goa,2020,3,Financial Services,4985,6418950.467
Goa,2020,3,Others,7545,5112530.621
Goa,2020,4,Peer to Peer Payments,1550251,5407626413
Goa,2020,4,Merchant payments,1389834,1123844213
Goa,2020,4,"Recharge , bill payments",839199,345088772.4
Goa,2020,4,Financial Services,7287,10386560.39
Goa,2020,4,Others,14810,12846789.25
Goa,2021,1,Peer to Peer Payments,2235456,7553384653
Goa,2021,1,Merchant payments,2195509,1768358977
Goa,2021,1,"Recharge , bill payments",880682,410604192.7
Goa,2021,1,Financial Services,8138,12207778.15
Goa,2021,1,Others,11764,12687278.26
Goa,2021,2,Merchant payments,1869384,1411529034
Goa,2021,2,Peer to Peer Payments,1866837,6195032351
Goa,2021,2,"Recharge , bill payments",953219,383804809.4
Goa,2021,2,Financial Services,8303,12371843.84
Goa,2021,2,Others,12392,10115549.03
Goa,2021,3,Merchant payments,2865625,2143135315
Goa,2021,3,Peer to Peer Payments,2560305,7871092673
Goa,2021,3,"Recharge , bill payments",1017351,438838003.2
Goa,2021,3,Financial Services,8337,12943224.07
Goa,2021,3,Others,16145,12416377.6
Goa,2021,4,Merchant payments,5474662,4384250603
Goa,2021,4,Peer to Peer Payments,4408822,13618351953
Goa,2021,4,"Recharge , bill payments",1170180,585734312.4
Goa,2021,4,Financial Services,11320,17101084.66
Goa,2021,4,Others,23775,21819163.2
Goa,2022,1,Merchant payments,6364271,4682000388
Goa,2022,1,Peer to Peer Payments,4640380,14449830642
Goa,2022,1,"Recharge , bill payments",1177071,646403472.1
Goa,2022,1,Financial Services,11677,17490493.19
Goa,2022,1,Others,20699,20720407.6
Goa,2022,2,Merchant payments,7812998,5736211014
Goa,2022,2,Peer to Peer Payments,5097942,16372343177
Goa,2022,2,"Recharge , bill payments",1279377,738765635.3
Goa,2022,2,Financial Services,10666,13192736.03
Goa,2022,2,Others,15071,12525197.3
Goa,2022,3,Merchant payments,7595135,5112175255
Goa,2022,3,Peer to Peer Payments,4449008,13780955270
Goa,2022,3,"Recharge , bill payments",1122869,657115143.5
Goa,2022,3,Financial Services,9992,12650738.42
Goa,2022,3,Others,11683,11368868.04
Goa,2022,4,Merchant payments,10319138,6739205748
Goa,2022,4,Peer to Peer Payments,5652373,17421974715
Goa,2022,4,"Recharge , bill payments",1195865,734121700.6
Goa,2022,4,Financial Services,12147,15705663.13
Goa,2022,4,Others,13151,13978544.18
Gujarat,2018,1,"Recharge , bill payments",3691952,878929081
Gujarat,2018,1,Peer to Peer Payments,1738974,6318864760
Gujarat,2018,1,Merchant payments,145436,166036667.6
Gujarat,2018,1,Financial Services,122117,27986679.01
Gujarat,2018,1,Others,250296,186165067.6
Gujarat,2018,2,"Recharge , bill payments",4643367,1571880396
Gujarat,2018,2,Peer to Peer Payments,2483231,10009680530
Gujarat,2018,2,Merchant payments,275503,356984574.1
Gujarat,2018,2,Financial Services,140704,38598263.23
Gujarat,2018,2,Others,202928,185541007.5
Gujarat,2018,3,Peer to Peer Payments,5287200,15272745138
Gujarat,2018,3,"Recharge , bill payments",5117168,1938041689
Gujarat,2018,3,Merchant payments,573440,466209496.8
Gujarat,2018,3,Financial Services,136468,24930605.61
Gujarat,2018,3,Others,219873,164477497.1
Gujarat,2018,4,Peer to Peer Payments,6488202,21207285185
Gujarat,2018,4,"Recharge , bill payments",6138404,2297332323
Gujarat,2018,4,Merchant payments,1656377,1088373316
Gujarat,2018,4,Financial Services,133915,30699273.17
Gujarat,2018,4,Others,316405,207297005.7
Gujarat,2019,1,Peer to Peer Payments,13465044,31231285551
Gujarat,2019,1,"Recharge , bill payments",8595256,3104251733
Gujarat,2019,1,Merchant payments,2493340,1296376125
Gujarat,2019,1,Financial Services,114539,19581520.57
Gujarat,2019,1,Others,323272,204585378.8
Gujarat,2019,2,Peer to Peer Payments,12547493,41853661230
Gujarat,2019,2,"Recharge , bill payments",10434449,4651874823
Gujarat,2019,2,Merchant payments,5486791,2526448415
Gujarat,2019,2,Financial Services,70502,17349813.39
Gujarat,2019,2,Others,442607,271280936.6
Gujarat,2019,3,Peer to Peer Payments,14529353,49206585462
Gujarat,2019,3,Merchant payments,11788077,4211116461
Gujarat,2019,3,"Recharge , bill payments",11349625,5768100024
Gujarat,2019,3,Financial Services,78609,20507001.23
Gujarat,2019,3,Others,482985,256386015.2
Gujarat,2019,4,Peer to Peer Payments,19107911,64477452639
Gujarat,2019,4,"Recharge , bill payments",12967713,6517891167
Gujarat,2019,4,Merchant payments,9964076,5480269120
Gujarat,2019,4,Financial Services,63498,20202767.26
Gujarat,2019,4,Others,444434,194846362.4
Gujarat,2020,1,Peer to Peer Payments,19068093,72393727235
Gujarat,2020,1,"Recharge , bill payments",15648472,7197595157
Gujarat,2020,1,Merchant payments,12191478,7210758662
Gujarat,2020,1,Financial Services,50753,27460255.46
Gujarat,2020,1,Others,367621,165535312.4
Gujarat,2020,2,"Recharge , bill payments",19971660,8322688557
Gujarat,2020,2,Peer to Peer Payments,17569398,64723140394
Gujarat,2020,2,Merchant payments,9645967,7196610932
Gujarat,2020,2,Financial Services,59617,53132341.31
Gujarat,2020,2,Others,173543,92274135.41
Gujarat,2020,3,Peer to Peer Payments,23130724,89142122337
Gujarat,2020,3,Merchant payments,18338969,12749796642
Gujarat,2020,3,"Recharge , bill payments",17481357,9820654244
Gujarat,2020,3,Financial Services,92278,84723188.62
Gujarat,2020,3,Others,246851,124456073.2
Gujarat,2020,4,Peer to Peer Payments,29967258,1.17E+11
Gujarat,2020,4,Merchant payments,28430460,20844321157
Gujarat,2020,4,"Recharge , bill payments",18943669,10441981826
Gujarat,2020,4,Financial Services,113371,120056733.9
Gujarat,2020,4,Others,373789,243470065.5
Gujarat,2021,1,Peer to Peer Payments,36427493,1.45E+11
Gujarat,2021,1,Merchant payments,35815382,26512643894
Gujarat,2021,1,"Recharge , bill payments",22088838,11996115292
Gujarat,2021,1,Financial Services,126380,137612317.7
Gujarat,2021,1,Others,316472,235440836.3
Gujarat,2021,2,Merchant payments,42593432,33542305034
Gujarat,2021,2,Peer to Peer Payments,41642387,1.62E+11
Gujarat,2021,2,"Recharge , bill payments",27127405,13750783182
Gujarat,2021,2,Financial Services,128647,136119996.7
Gujarat,2021,2,Others,349525,249278437.3
Gujarat,2021,3,Merchant payments,62934471,48197579737
Gujarat,2021,3,Peer to Peer Payments,56134212,2.08E+11
Gujarat,2021,3,"Recharge , bill payments",29580901,15945997372
Gujarat,2021,3,Financial Services,125167,163304131.1
Gujarat,2021,3,Others,473656,304418273.2
Gujarat,2021,4,Merchant payments,84846502,68717933162
Gujarat,2021,4,Peer to Peer Payments,67301686,2.54E+11
Gujarat,2021,4,"Recharge , bill payments",30072479,18739034342
Gujarat,2021,4,Financial Services,175393,209214620.7
Gujarat,2021,4,Others,591265,377657202.8
Gujarat,2022,1,Merchant payments,101648378,79563412222
Gujarat,2022,1,Peer to Peer Payments,77768758,2.92E+11
Gujarat,2022,1,"Recharge , bill payments",30473298,20042066375
Gujarat,2022,1,Financial Services,160423,187077879.4
Gujarat,2022,1,Others,496289,316261089.4
Gujarat,2022,2,Merchant payments,131610193,95585623258
Gujarat,2022,2,Peer to Peer Payments,86423696,3.27E+11
Gujarat,2022,2,"Recharge , bill payments",33424931,23844933238
Gujarat,2022,2,Financial Services,125180,142685436.4
Gujarat,2022,2,Others,468796,278978567.2
Gujarat,2022,3,Merchant payments,161264265,1.09E+11
Gujarat,2022,3,Peer to Peer Payments,103034790,3.59E+11
Gujarat,2022,3,"Recharge , bill payments",38383683,28649040041
Gujarat,2022,3,Financial Services,152053,162173602.8
Gujarat,2022,3,Others,404941,269479241.1
Gujarat,2022,4,Merchant payments,186533503,1.26E+11
Gujarat,2022,4,Peer to Peer Payments,114868478,4.11E+11
Gujarat,2022,4,"Recharge , bill payments",39167297,30789927499
Gujarat,2022,4,Financial Services,179101,194314203
Gujarat,2022,4,Others,407639,295484431.3
Haryana,2018,1,"Recharge , bill payments",2368002,535578755.1
Haryana,2018,1,Peer to Peer Payments,1607193,5814807511
Haryana,2018,1,Merchant payments,167816,173513595.4
Haryana,2018,1,Financial Services,128636,27501068.01
Haryana,2018,1,Others,209123,242110585.5
Haryana,2018,2,"Recharge , bill payments",3054284,984897276.7
Haryana,2018,2,Peer to Peer Payments,2388953,9745924810
Haryana,2018,2,Merchant payments,369916,334118261.5
Haryana,2018,2,Financial Services,167570,38145882.44
Haryana,2018,2,Others,170208,217328211.7
Haryana,2018,3,Peer to Peer Payments,3753981,14429454356
Haryana,2018,3,"Recharge , bill payments",3203386,1310467515
Haryana,2018,3,Merchant payments,1003057,427387637.9
Haryana,2018,3,Financial Services,100452,17323790.81
Haryana,2018,3,Others,201148,190505707.5
Haryana,2018,4,Peer to Peer Payments,5905032,22416919747
Haryana,2018,4,"Recharge , bill payments",4116262,1671040704
Haryana,2018,4,Merchant payments,2413446,1013407380
Haryana,2018,4,Financial Services,120711,22252543.62
Haryana,2018,4,Others,394732,267255642.3
Haryana,2019,1,Peer to Peer Payments,12622225,30283578837
Haryana,2019,1,"Recharge , bill payments",5576577,2202061875
Haryana,2019,1,Merchant payments,3361995,1292375556
Haryana,2019,1,Financial Services,101786,15201736
Haryana,2019,1,Others,473192,258437718.2
Haryana,2019,2,Peer to Peer Payments,10387562,37056084814
Haryana,2019,2,"Recharge , bill payments",5902923,2838724048
Haryana,2019,2,Merchant payments,5738283,2292901816
Haryana,2019,2,Financial Services,57488,12080285.23
Haryana,2019,2,Others,655560,301748850.2
Haryana,2019,3,Peer to Peer Payments,11775288,43738290120
Haryana,2019,3,Merchant payments,9386779,3615636828
Haryana,2019,3,"Recharge , bill payments",8289987,4817098565
Haryana,2019,3,Financial Services,61503,16715100.88
Haryana,2019,3,Others,829974,301378586
Haryana,2019,4,Peer to Peer Payments,15729819,58242027266
Haryana,2019,4,Merchant payments,11615667,5253780278
Haryana,2019,4,"Recharge , bill payments",9648003,5637358526
Haryana,2019,4,Financial Services,41688,13756049.14
Haryana,2019,4,Others,790808,212797749.8
Haryana,2020,1,Peer to Peer Payments,17728235,68367245528
Haryana,2020,1,Merchant payments,14327020,7075196609
Haryana,2020,1,"Recharge , bill payments",11346112,6331682017
Haryana,2020,1,Financial Services,34488,25266730.19
Haryana,2020,1,Others,600232,176823674.2
Haryana,2020,2,Peer to Peer Payments,17334369,66645492691
Haryana,2020,2,"Recharge , bill payments",12740328,6547618492
Haryana,2020,2,Merchant payments,11527654,7393393678
Haryana,2020,2,Financial Services,48759,49209527.29
Haryana,2020,2,Others,129940,75550536.68
Haryana,2020,3,Peer to Peer Payments,24123449,88796356487
Haryana,2020,3,Merchant payments,20845136,12141560867
Haryana,2020,3,"Recharge , bill payments",12716319,8452802893
Haryana,2020,3,Financial Services,66457,80854296.93
Haryana,2020,3,Others,186818,96375902.2
Haryana,2020,4,Merchant payments,34063692,21382305452
Haryana,2020,4,Peer to Peer Payments,33920789,1.29E+11
Haryana,2020,4,"Recharge , bill payments",14682896,9675471301
Haryana,2020,4,Financial Services,84881,103265693.8
Haryana,2020,4,Others,419181,223528573.1
Haryana,2021,1,Merchant payments,39363588,23389100227
Haryana,2021,1,Peer to Peer Payments,36764622,1.36E+11
Haryana,2021,1,"Recharge , bill payments",13680353,9260346909
Haryana,2021,1,Financial Services,79784,99672809.99
Haryana,2021,1,Others,364437,218544351.2
Haryana,2021,2,Merchant payments,45335533,29119078264
Haryana,2021,2,Peer to Peer Payments,44086559,1.61E+11
Haryana,2021,2,"Recharge , bill payments",15861047,9839496895
Haryana,2021,2,Financial Services,85821,97238136.1
Haryana,2021,2,Others,311896,227855607
Haryana,2021,3,Merchant payments,66885213,40190922827
Haryana,2021,3,Peer to Peer Payments,55929958,1.89E+11
Haryana,2021,3,"Recharge , bill payments",17087955,11681457469
Haryana,2021,3,Financial Services,77496,116592181.5
Haryana,2021,3,Others,479071,289441481.6
Haryana,2021,4,Merchant payments,84993587,56325102921
Haryana,2021,4,Peer to Peer Payments,66548306,2.39E+11
Haryana,2021,4,"Recharge , bill payments",17632752,13817258646
Haryana,2021,4,Financial Services,105050,151421306.6
Haryana,2021,4,Others,407280,307822609.2
Haryana,2022,1,Merchant payments,98346418,62565728158
Haryana,2022,1,Peer to Peer Payments,74499889,2.64E+11
Haryana,2022,1,"Recharge , bill payments",18494827,14765350796
Haryana,2022,1,Financial Services,107240,146586164.6
Haryana,2022,1,Others,540235,279136534.2
Haryana,2022,2,Merchant payments,130033573,76926347116
Haryana,2022,2,Peer to Peer Payments,84219451,3.01E+11
Haryana,2022,2,"Recharge , bill payments",20011709,17457331653
Haryana,2022,2,Financial Services,89805,120610061.5
Haryana,2022,2,Others,345424,224949213.5
Haryana,2022,3,Merchant payments,151278013,87063736520
Haryana,2022,3,Peer to Peer Payments,95071203,3.19E+11
Haryana,2022,3,"Recharge , bill payments",22592966,21247984019
Haryana,2022,3,Financial Services,111032,144937203.3
Haryana,2022,3,Others,308596,223267730.3
Haryana,2022,4,Merchant payments,169685872,1.03E+11
Haryana,2022,4,Peer to Peer Payments,102993798,3.65E+11
Haryana,2022,4,"Recharge , bill payments",23545059,22666085170
Haryana,2022,4,Financial Services,118488,152488075
Haryana,2022,4,Others,305148,239722615.9
Himachal Pradesh,2018,1,"Recharge , bill payments",284371,49871175.83
Himachal Pradesh,2018,1,Peer to Peer Payments,154572,546222027.5
Himachal Pradesh,2018,1,Merchant payments,13241,13851230.83
Himachal Pradesh,2018,1,Financial Services,8955,2040522.725
Himachal Pradesh,2018,1,Others,20779,16752849.5
Himachal Pradesh,2018,2,"Recharge , bill payments",385642,83714322.41
Himachal Pradesh,2018,2,Peer to Peer Payments,243436,1043702964
Himachal Pradesh,2018,2,Merchant payments,27851,31961300.88
Himachal Pradesh,2018,2,Financial Services,11330,4108919.308
Himachal Pradesh,2018,2,Others,19436,19681794.6
Himachal Pradesh,2018,3,"Recharge , bill payments",457449,108456077.5
Himachal Pradesh,2018,3,Peer to Peer Payments,362755,1596570995
Himachal Pradesh,2018,3,Merchant payments,40675,31168155.22
Himachal Pradesh,2018,3,Financial Services,8182,1552275.054
Himachal Pradesh,2018,3,Others,17693,16293930.08
Himachal Pradesh,2018,4,"Recharge , bill payments",598325,143031082.4
Himachal Pradesh,2018,4,Peer to Peer Payments,590518,2367228879
Himachal Pradesh,2018,4,Merchant payments,86963,87575811.8
Himachal Pradesh,2018,4,Financial Services,11834,2283052.791
Himachal Pradesh,2018,4,Others,20243,21180141.66
Himachal Pradesh,2019,1,Peer to Peer Payments,1178280,3066233588
Himachal Pradesh,2019,1,"Recharge , bill payments",844570,209521987
Himachal Pradesh,2019,1,Merchant payments,115553,86624660.31
Himachal Pradesh,2019,1,Financial Services,9585,1424229.999
Himachal Pradesh,2019,1,Others,20730,17676977.72
Himachal Pradesh,2019,2,Peer to Peer Payments,1141873,4428007671
Himachal Pradesh,2019,2,"Recharge , bill payments",1076793,279864580
Himachal Pradesh,2019,2,Merchant payments,248517,141088575.9
Himachal Pradesh,2019,2,Financial Services,5013,1453651.535
Himachal Pradesh,2019,2,Others,30110,25469495.27
Himachal Pradesh,2019,3,"Recharge , bill payments",1212659,327570067
Himachal Pradesh,2019,3,Peer to Peer Payments,1181680,5039276845
Himachal Pradesh,2019,3,Merchant payments,312575,182746198.2
Himachal Pradesh,2019,3,Financial Services,3096,1775673.971
Himachal Pradesh,2019,3,Others,25170,20649996.7
Himachal Pradesh,2019,4,Peer to Peer Payments,1579582,6533855301
Himachal Pradesh,2019,4,"Recharge , bill payments",1442940,402619115
Himachal Pradesh,2019,4,Merchant payments,467309,314965060.6
Himachal Pradesh,2019,4,Financial Services,4576,1769641.967
Himachal Pradesh,2019,4,Others,22239,17954418.58
Himachal Pradesh,2020,1,"Recharge , bill payments",1815157,542356757
Himachal Pradesh,2020,1,Peer to Peer Payments,1594806,6431826925
Himachal Pradesh,2020,1,Merchant payments,711018,427497010.1
Himachal Pradesh,2020,1,Financial Services,4711,3172303.69
Himachal Pradesh,2020,1,Others,18788,14613755.24
Himachal Pradesh,2020,2,"Recharge , bill payments",2558935,802231470.2
Himachal Pradesh,2020,2,Peer to Peer Payments,1544488,6738488219
Himachal Pradesh,2020,2,Merchant payments,570031,479165630.6
Himachal Pradesh,2020,2,Financial Services,7634,7359757.738
Himachal Pradesh,2020,2,Others,14642,9659685.393
Himachal Pradesh,2020,3,"Recharge , bill payments",2416395,834567922.3
Himachal Pradesh,2020,3,Peer to Peer Payments,1954492,8806586537
Himachal Pradesh,2020,3,Merchant payments,1090445,851539467.3
Himachal Pradesh,2020,3,Financial Services,9543,11391079.29
Himachal Pradesh,2020,3,Others,19001,11969008.53
