States,Year,Quarter,District,Trans_Counts,Amount
"Jammu , Kashmir",2019,1,Anantnag District,92467,115882661.6
"Jammu , Kashmir",2019,1,Kupwara District,65813,158106446.7
"Jammu , Kashmir",2019,2,Muzaffarabad District,358,1356184.787
"Jammu , Kashmir",2019,2,Doda District,25374,74037772.87
"Jammu , Kashmir",2019,2,Samba District,54413,142027333.5
"Jammu , Kashmir",2019,2,Mirpur District,5820,25540990.11
"Jammu , Kashmir",2019,2,Srinagar District,721517,1997435095
"Jammu , Kashmir",2019,2,Baramulla District,150503,324305667.3
"Jammu , Kashmir",2019,2,Jammu District,532412,1521238564
"Jammu , Kashmir",2019,2,Ganderbal District,42072,87050223.77
"Jammu , Kashmir",2019,2,Udhampur District,70405,212612443.7
"Jammu , Kashmir",2019,2,Bandipore District,41227,86691218.64
"Jammu , Kashmir",2019,2,Reasi District,35425,91038294.73
"Jammu , Kashmir",2019,2,Shopian District,19607,47839036.07
"Jammu , Kashmir",2019,2,Poonch District,38370,120247830.9
"Jammu , Kashmir",2019,2,Kathua District,62989,140667309.7
"Jammu , Kashmir",2019,2,Kishtwar District,13465,36238981.23
"Jammu , Kashmir",2019,2,Pulwama District,72486,192069086.4
"Jammu , Kashmir",2019,2,Ramban District,32101,87397686.36
"Jammu , Kashmir",2019,2,Rajouri District,59741,189339489
"Jammu , Kashmir",2019,2,Kulgam District,47276,70172206.04
"Jammu , Kashmir",2019,2,Budgam District,118107,244724343
"Jammu , Kashmir",2019,2,Anantnag District,76968,176892916.9
"Jammu , Kashmir",2019,2,Kupwara District,75719,231219527.3
"Jammu , Kashmir",2019,3,Muzaffarabad District,289,878367.6864
"Jammu , Kashmir",2019,3,Doda District,13665,39001610.5
"Jammu , Kashmir",2019,3,Samba District,32337,83363005.11
"Jammu , Kashmir",2019,3,Mirpur District,3501,11882521.93
"Jammu , Kashmir",2019,3,Srinagar District,329195,1391918064
"Jammu , Kashmir",2019,3,Baramulla District,55226,164311812.1
"Jammu , Kashmir",2019,3,Jammu District,275239,885413982.5
"Jammu , Kashmir",2019,3,Ganderbal District,20047,58009547.85
"Jammu , Kashmir",2019,3,Udhampur District,43153,135163022.8
"Jammu , Kashmir",2019,3,Bandipore District,15986,42396418.66
"Jammu , Kashmir",2019,3,Reasi District,22807,59225448.99
"Jammu , Kashmir",2019,3,Shopian District,7786,16229882.15
"Jammu , Kashmir",2019,3,Poonch District,23270,75145778.4
"Jammu , Kashmir",2019,3,Kathua District,42083,90084615.95
"Jammu , Kashmir",2019,3,Kishtwar District,7443,21173636.24
"Jammu , Kashmir",2019,3,Pulwama District,33089,104266797.7
"Jammu , Kashmir",2019,3,Ramban District,23615,69645588.74
"Jammu , Kashmir",2019,3,Rajouri District,34386,112169651.7
"Jammu , Kashmir",2019,3,Kulgam District,17217,33851232
"Jammu , Kashmir",2019,3,Budgam District,41566,114191268.3
"Jammu , Kashmir",2019,3,Anantnag District,39325,117282515.5
"Jammu , Kashmir",2019,3,Kupwara District,35301,118625723
"Jammu , Kashmir",2019,4,Muzaffarabad District,13,33490.7378
"Jammu , Kashmir",2019,4,Doda District,2864,13087031.76
"Jammu , Kashmir",2019,4,Samba District,14817,53713327.35
"Jammu , Kashmir",2019,4,Mirpur District,642,3841256.043
"Jammu , Kashmir",2019,4,Srinagar District,117133,474222741.5
"Jammu , Kashmir",2019,4,Baramulla District,8345,30863315.57
"Jammu , Kashmir",2019,4,Jammu District,231238,928579096.2
"Jammu , Kashmir",2019,4,Ganderbal District,834,4743500.871
"Jammu , Kashmir",2019,4,Udhampur District,22103,91344412.28
"Jammu , Kashmir",2019,4,Bandipore District,300,1680075.85
"Jammu , Kashmir",2019,4,Reasi District,12986,43788337.94
"Jammu , Kashmir",2019,4,Shopian District,285,648555.5508
"Jammu , Kashmir",2019,4,Poonch District,10130,37926598.59
"Jammu , Kashmir",2019,4,Kathua District,28288,83151146.7
"Jammu , Kashmir",2019,4,Kishtwar District,2057,9695993.464
"Jammu , Kashmir",2019,4,Pulwama District,1473,9185346.443
"Jammu , Kashmir",2019,4,Ramban District,14088,49372161.64
"Jammu , Kashmir",2019,4,Rajouri District,15973,65942824.07
"Jammu , Kashmir",2019,4,Kulgam District,211,982047.0576
"Jammu , Kashmir",2019,4,Budgam District,2351,11629862.55
"Jammu , Kashmir",2019,4,Anantnag District,3109,11464594.84
"Jammu , Kashmir",2019,4,Kupwara District,688,3800280.84
"Jammu , Kashmir",2020,1,Muzaffarabad District,112,436693.6275
"Jammu , Kashmir",2020,1,Doda District,14126,38583563.33
"Jammu , Kashmir",2020,1,Samba District,32933,90185246.22
"Jammu , Kashmir",2020,1,Mirpur District,3104,11580819.25
"Jammu , Kashmir",2020,1,Srinagar District,127979,474473029.6
"Jammu , Kashmir",2020,1,Baramulla District,38477,102651434
"Jammu , Kashmir",2020,1,Jammu District,363150,1275561406
"Jammu , Kashmir",2020,1,Ganderbal District,10813,28214462.84
"Jammu , Kashmir",2020,1,Udhampur District,45339,137536252
"Jammu , Kashmir",2020,1,Bandipore District,10311,27789837.54
"Jammu , Kashmir",2020,1,Reasi District,24431,69003941.03
"Jammu , Kashmir",2020,1,Shopian District,7878,18157391.9
"Jammu , Kashmir",2020,1,Poonch District,16709,52760138.97
"Jammu , Kashmir",2020,1,Kathua District,48120,107171478.6
"Jammu , Kashmir",2020,1,Kishtwar District,9710,27259898.03
"Jammu , Kashmir",2020,1,Pulwama District,26598,76212175.44
"Jammu , Kashmir",2020,1,Ramban District,12796,34487947.98
"Jammu , Kashmir",2020,1,Rajouri District,28561,88475364.89
"Jammu , Kashmir",2020,1,Kulgam District,12394,24289856.01
"Jammu , Kashmir",2020,1,Budgam District,32991,95338551.23
"Jammu , Kashmir",2020,1,Anantnag District,25741,70085624.44
"Jammu , Kashmir",2020,1,Kupwara District,29357,87388063.94
"Jammu , Kashmir",2020,2,Muzaffarabad District,656,2880433.662
"Jammu , Kashmir",2020,2,Doda District,57928,135990635
"Jammu , Kashmir",2020,2,Samba District,92336,202733580
"Jammu , Kashmir",2020,2,Mirpur District,14046,44622104.63
"Jammu , Kashmir",2020,2,Srinagar District,440808,1810806888
"Jammu , Kashmir",2020,2,Baramulla District,139478,414666518.8
"Jammu , Kashmir",2020,2,Jammu District,819252,2746977182
"Jammu , Kashmir",2020,2,Ganderbal District,36483,106190105.6
"Jammu , Kashmir",2020,2,Udhampur District,127419,319173115.3
"Jammu , Kashmir",2020,2,Bandipore District,36152,102723529.9
"Jammu , Kashmir",2020,2,Reasi District,49746,106410135.7
"Jammu , Kashmir",2020,2,Shopian District,24785,66217970.77
"Jammu , Kashmir",2020,2,Poonch District,65969,192100840.1
"Jammu , Kashmir",2020,2,Kathua District,114835,227977779.9
"Jammu , Kashmir",2020,2,Kishtwar District,29206,75514041.2
"Jammu , Kashmir",2020,2,Pulwama District,85402,271480260.9
"Jammu , Kashmir",2020,2,Ramban District,39854,102642842.4
"Jammu , Kashmir",2020,2,Rajouri District,104655,305656997.1
"Jammu , Kashmir",2020,2,Kulgam District,42870,100175288.1
"Jammu , Kashmir",2020,2,Budgam District,112970,331830464.7
"Jammu , Kashmir",2020,2,Anantnag District,85384,239711526.3
"Jammu , Kashmir",2020,2,Kupwara District,114772,359166698.8
"Jammu , Kashmir",2020,3,Muzaffarabad District,1572,5773809.286
"Jammu , Kashmir",2020,3,Doda District,68744,173984872.1
"Jammu , Kashmir",2020,3,Samba District,113571,309268006.3
"Jammu , Kashmir",2020,3,Mirpur District,15019,54072783.39
"Jammu , Kashmir",2020,3,Srinagar District,461915,1879035427
"Jammu , Kashmir",2020,3,Baramulla District,183583,580425624.4
"Jammu , Kashmir",2020,3,Jammu District,1266667,4876922229
"Jammu , Kashmir",2020,3,Ganderbal District,50743,155780383
"Jammu , Kashmir",2020,3,Udhampur District,154296,445180791.6
"Jammu , Kashmir",2020,3,Bandipore District,48450,147013052.4
"Jammu , Kashmir",2020,3,Reasi District,56486,135099068.4
"Jammu , Kashmir",2020,3,Shopian District,34708,101326986.6
"Jammu , Kashmir",2020,3,Poonch District,76518,263707934.5
"Jammu , Kashmir",2020,3,Kathua District,126283,311678208.4
"Jammu , Kashmir",2020,3,Kishtwar District,31188,83180064.57
"Jammu , Kashmir",2020,3,Pulwama District,114833,372238070.4
"Jammu , Kashmir",2020,3,Ramban District,45879,125848917.4
"Jammu , Kashmir",2020,3,Rajouri District,125973,413621357.6
"Jammu , Kashmir",2020,3,Kulgam District,55854,145784144.8
"Jammu , Kashmir",2020,3,Budgam District,148225,477023512.9
"Jammu , Kashmir",2020,3,Anantnag District,128022,403569858.3
"Jammu , Kashmir",2020,3,Kupwara District,157369,516694658.1
"Jammu , Kashmir",2020,4,Muzaffarabad District,2190,8320762.642
"Jammu , Kashmir",2020,4,Doda District,101107,228886606.7
"Jammu , Kashmir",2020,4,Samba District,192767,485508786.6
"Jammu , Kashmir",2020,4,Mirpur District,22039,79706376.64
"Jammu , Kashmir",2020,4,Srinagar District,731076,2177635782
"Jammu , Kashmir",2020,4,Baramulla District,412433,862594987.6
"Jammu , Kashmir",2020,4,Jammu District,1776840,5696308275
"Jammu , Kashmir",2020,4,Ganderbal District,92285,201135628.3
"Jammu , Kashmir",2020,4,Udhampur District,248906,646828971.4
"Jammu , Kashmir",2020,4,Bandipore District,106767,229201197.2
"Jammu , Kashmir",2020,4,Reasi District,100618,229255669.2
"Jammu , Kashmir",2020,4,Shopian District,71983,161658443.4
"Jammu , Kashmir",2020,4,Poonch District,117245,342505124.4
"Jammu , Kashmir",2020,4,Kathua District,226360,463045666.1
"Jammu , Kashmir",2020,4,Kishtwar District,51330,107185861.5
"Jammu , Kashmir",2020,4,Pulwama District,219731,551823991.8
"Jammu , Kashmir",2020,4,Ramban District,78367,192684246.3
"Jammu , Kashmir",2020,4,Rajouri District,196713,567890456.5
"Jammu , Kashmir",2020,4,Kulgam District,124253,220794472.5
"Jammu , Kashmir",2020,4,Budgam District,295461,692267475.8
"Jammu , Kashmir",2020,4,Anantnag District,282499,514346951
"Jammu , Kashmir",2020,4,Kupwara District,303474,721320071
"Jammu , Kashmir",2021,1,Muzaffarabad District,1760,7018769.977
"Jammu , Kashmir",2021,1,Doda District,93540,197962516.6
"Jammu , Kashmir",2021,1,Samba District,201873,489544571
"Jammu , Kashmir",2021,1,Mirpur District,19836,76641365.5
"Jammu , Kashmir",2021,1,Srinagar District,1027161,2568956545
"Jammu , Kashmir",2021,1,Baramulla District,410535,785025036.9
"Jammu , Kashmir",2021,1,Jammu District,2651223,7421535966
"Jammu , Kashmir",2021,1,Ganderbal District,90691,163957078.6
"Jammu , Kashmir",2021,1,Udhampur District,253788,659211752.1
"Jammu , Kashmir",2021,1,Bandipore District,110105,212281960.5
"Jammu , Kashmir",2021,1,Reasi District,129459,310187729.6
"Jammu , Kashmir",2021,1,Shopian District,72084,140201587.3
"Jammu , Kashmir",2021,1,Poonch District,103668,299466026.9
"Jammu , Kashmir",2021,1,Kathua District,245017,476737690.9
"Jammu , Kashmir",2021,1,Kishtwar District,51696,119471258.1
"Jammu , Kashmir",2021,1,Pulwama District,230547,506298792.8
"Jammu , Kashmir",2021,1,Ramban District,79917,198841833.5
"Jammu , Kashmir",2021,1,Rajouri District,185784,544732582.9
"Jammu , Kashmir",2021,1,Kulgam District,118926,178549172.9
"Jammu , Kashmir",2021,1,Budgam District,314969,629196655.4
"Jammu , Kashmir",2021,1,Anantnag District,317577,500687365.6
"Jammu , Kashmir",2021,1,Kupwara District,287414,651843634.7
"Jammu , Kashmir",2021,2,Muzaffarabad District,3148,10753997.02
"Jammu , Kashmir",2021,2,Doda District,140197,278351055.1
"Jammu , Kashmir",2021,2,Samba District,272944,627782719.5
"Jammu , Kashmir",2021,2,Mirpur District,27536,100332260.1
"Jammu , Kashmir",2021,2,Srinagar District,1529261,3491629170
"Jammu , Kashmir",2021,2,Baramulla District,558737,966623715.8
"Jammu , Kashmir",2021,2,Jammu District,3793205,10159766999
"Jammu , Kashmir",2021,2,Ganderbal District,140457,232925318.2
"Jammu , Kashmir",2021,2,Udhampur District,361814,841569040
"Jammu , Kashmir",2021,2,Bandipore District,160002,285432318.9
"Jammu , Kashmir",2021,2,Reasi District,155375,315743621.3
"Jammu , Kashmir",2021,2,Shopian District,103178,162612796.3
"Jammu , Kashmir",2021,2,Poonch District,155606,414593947.5
"Jammu , Kashmir",2021,2,Kathua District,329534,635043868.2
"Jammu , Kashmir",2021,2,Kishtwar District,76391,153411580
"Jammu , Kashmir",2021,2,Pulwama District,332326,632761432.1
"Jammu , Kashmir",2021,2,Ramban District,117866,253971901.6
"Jammu , Kashmir",2021,2,Rajouri District,239185,634121152.1
"Jammu , Kashmir",2021,2,Kulgam District,192379,256728224.9
"Jammu , Kashmir",2021,2,Budgam District,450138,822332973.9
"Jammu , Kashmir",2021,2,Anantnag District,479956,717788809.3
"Jammu , Kashmir",2021,2,Kupwara District,408584,819478528.2
"Jammu , Kashmir",2021,3,Muzaffarabad District,4058,15722035.2
"Jammu , Kashmir",2021,3,Doda District,178242,377444601.9
"Jammu , Kashmir",2021,3,Samba District,352992,822873576.5
"Jammu , Kashmir",2021,3,Mirpur District,32777,122345912.6
"Jammu , Kashmir",2021,3,Srinagar District,2196468,5510884597
"Jammu , Kashmir",2021,3,Baramulla District,647847,1285810268
"Jammu , Kashmir",2021,3,Jammu District,5192026,13867943226
"Jammu , Kashmir",2021,3,Ganderbal District,176334,338209062.1
"Jammu , Kashmir",2021,3,Udhampur District,476615,1090587536
"Jammu , Kashmir",2021,3,Bandipore District,177163,340899753.3
"Jammu , Kashmir",2021,3,Reasi District,247073,542552590.8
"Jammu , Kashmir",2021,3,Shopian District,124570,229098781.2
"Jammu , Kashmir",2021,3,Poonch District,182447,520994996
"Jammu , Kashmir",2021,3,Kathua District,399722,762622103.9
"Jammu , Kashmir",2021,3,Kishtwar District,96068,208106532.4
"Jammu , Kashmir",2021,3,Pulwama District,393629,826511580.1
"Jammu , Kashmir",2021,3,Ramban District,157474,367286362
"Jammu , Kashmir",2021,3,Rajouri District,289081,823624344.2
"Jammu , Kashmir",2021,3,Kulgam District,223401,360260919.1
"Jammu , Kashmir",2021,3,Budgam District,545818,1112797676
"Jammu , Kashmir",2021,3,Anantnag District,580106,938064508.2
"Jammu , Kashmir",2021,3,Kupwara District,477130,1133802686
"Jammu , Kashmir",2021,4,Muzaffarabad District,5831,21241442.22
"Jammu , Kashmir",2021,4,Doda District,235025,435237678.5
"Jammu , Kashmir",2021,4,Samba District,492079,1144805604
"Jammu , Kashmir",2021,4,Mirpur District,39050,142452278.9
"Jammu , Kashmir",2021,4,Srinagar District,2900577,7232270069
"Jammu , Kashmir",2021,4,Baramulla District,787593,1567275687
"Jammu , Kashmir",2021,4,Jammu District,6639541,16627649138
"Jammu , Kashmir",2021,4,Ganderbal District,211443,370559306.1
"Jammu , Kashmir",2021,4,Udhampur District,621122,1409015376
"Jammu , Kashmir",2021,4,Bandipore District,230443,426224671.1
"Jammu , Kashmir",2021,4,Reasi District,332221,721602756.5
"Jammu , Kashmir",2021,4,Shopian District,158150,324099702.9
"Jammu , Kashmir",2021,4,Poonch District,224247,610046677.3
"Jammu , Kashmir",2021,4,Kathua District,528207,1082468702
"Jammu , Kashmir",2021,4,Kishtwar District,120885,242172974.1
"Jammu , Kashmir",2021,4,Pulwama District,462342,988006961.9
"Jammu , Kashmir",2021,4,Ramban District,199682,423301690.6
"Jammu , Kashmir",2021,4,Rajouri District,363872,998884379.7
"Jammu , Kashmir",2021,4,Kulgam District,279358,450818697.9
"Jammu , Kashmir",2021,4,Budgam District,678080,1358477848
"Jammu , Kashmir",2021,4,Anantnag District,683078,1035794983
"Jammu , Kashmir",2021,4,Kupwara District,597802,1313830801
"Jammu , Kashmir",2022,1,Muzaffarabad District,5151,19960049.91
"Jammu , Kashmir",2022,1,Doda District,243924,421316780.3
"Jammu , Kashmir",2022,1,Samba District,588078,1229539786
"Jammu , Kashmir",2022,1,Mirpur District,38244,124084071.2
"Jammu , Kashmir",2022,1,Srinagar District,2743701,5949336258
"Jammu , Kashmir",2022,1,Baramulla District,877608,1607194898
"Jammu , Kashmir",2022,1,Jammu District,5510056,11881749308
"Jammu , Kashmir",2022,1,Ganderbal District,210863,345901039.9
"Jammu , Kashmir",2022,1,Udhampur District,729905,1568037830
"Jammu , Kashmir",2022,1,Bandipore District,259483,442350711.2
"Jammu , Kashmir",2022,1,Reasi District,362457,730878668.1
"Jammu , Kashmir",2022,1,Shopian District,162032,256594552.5
"Jammu , Kashmir",2022,1,Poonch District,242450,638025507.4
"Jammu , Kashmir",2022,1,Kathua District,608852,1177353986
"Jammu , Kashmir",2022,1,Kishtwar District,142061,253794904.9
"Jammu , Kashmir",2022,1,Pulwama District,508605,1004677771
"Jammu , Kashmir",2022,1,Ramban District,212611,426250571.2
"Jammu , Kashmir",2022,1,Rajouri District,397302,1014911356
"Jammu , Kashmir",2022,1,Kulgam District,300260,402883162
"Jammu , Kashmir",2022,1,Budgam District,718312,1319712135
"Jammu , Kashmir",2022,1,Anantnag District,728868,1032527026
"Jammu , Kashmir",2022,1,Kupwara District,654488,1300783255
"Jammu , Kashmir",2022,2,Muzaffarabad District,10444,33449179.77
"Jammu , Kashmir",2022,2,Doda District,339886,563086389.2
"Jammu , Kashmir",2022,2,Samba District,783532,1573110669
"Jammu , Kashmir",2022,2,Mirpur District,56603,166355428.5
"Jammu , Kashmir",2022,2,Srinagar District,4660647,9640282801
"Jammu , Kashmir",2022,2,Baramulla District,1226879,2154959863
"Jammu , Kashmir",2022,2,Jammu District,7441002,14880950856
"Jammu , Kashmir",2022,2,Ganderbal District,408175,736411674.7
"Jammu , Kashmir",2022,2,Udhampur District,947548,1877648827
"Jammu , Kashmir",2022,2,Bandipore District,360875,621882624.3
"Jammu , Kashmir",2022,2,Reasi District,548687,1063805328
"Jammu , Kashmir",2022,2,Shopian District,268677,434290103.6
"Jammu , Kashmir",2022,2,Poonch District,357832,884012060.9
"Jammu , Kashmir",2022,2,Kathua District,817009,1514113031
"Jammu , Kashmir",2022,2,Kishtwar District,188126,322575247.5
"Jammu , Kashmir",2022,2,Pulwama District,790442,1527002272
"Jammu , Kashmir",2022,2,Ramban District,320262,607095737
"Jammu , Kashmir",2022,2,Rajouri District,565064,1321641185
"Jammu , Kashmir",2022,2,Kulgam District,479844,650870807
"Jammu , Kashmir",2022,2,Budgam District,1052343,1977187447
"Jammu , Kashmir",2022,2,Anantnag District,1214291,1884518051
"Jammu , Kashmir",2022,2,Kupwara District,975579,1819041253
"Jammu , Kashmir",2022,3,Muzaffarabad District,12533,36613737.03
"Jammu , Kashmir",2022,3,Doda District,373904,609472501.4
"Jammu , Kashmir",2022,3,Samba District,842829,1581915448
"Jammu , Kashmir",2022,3,Mirpur District,57562,165963511.1
"Jammu , Kashmir",2022,3,Srinagar District,2447805,4804161643
"Jammu , Kashmir",2022,3,Baramulla District,1311393,2203515920
"Jammu , Kashmir",2022,3,Jammu District,7526503,13607597636
"Jammu , Kashmir",2022,3,Ganderbal District,472648,930632192.6
"Jammu , Kashmir",2022,3,Udhampur District,997199,1863833972
"Jammu , Kashmir",2022,3,Bandipore District,386029,668983200
"Jammu , Kashmir",2022,3,Reasi District,570648,1072011933
"Jammu , Kashmir",2022,3,Shopian District,320567,501659068.4
"Jammu , Kashmir",2022,3,Poonch District,388681,897489057
"Jammu , Kashmir",2022,3,Kathua District,834884,1473463666
"Jammu , Kashmir",2022,3,Kishtwar District,225295,396196222.3
"Jammu , Kashmir",2022,3,Pulwama District,847472,1623093820
"Jammu , Kashmir",2022,3,Ramban District,366778,680698346.4
"Jammu , Kashmir",2022,3,Rajouri District,579577,1320001714
"Jammu , Kashmir",2022,3,Kulgam District,539004,763535701.9
"Jammu , Kashmir",2022,3,Budgam District,1140418,1992489882
"Jammu , Kashmir",2022,3,Anantnag District,1263844,1939518539
"Jammu , Kashmir",2022,3,Kupwara District,1028821,1830706791
"Jammu , Kashmir",2022,4,Muzaffarabad District,14832,35055780.86
"Jammu , Kashmir",2022,4,Doda District,513476,629795395.8
"Jammu , Kashmir",2022,4,Samba District,1025985,1822006887
"Jammu , Kashmir",2022,4,Mirpur District,72961,184917178.2
"Jammu , Kashmir",2022,4,Srinagar District,3176470,5356773721
"Jammu , Kashmir",2022,4,Baramulla District,1599504,2370515820
"Jammu , Kashmir",2022,4,Jammu District,9213783,15674936388
"Jammu , Kashmir",2022,4,Ganderbal District,411732,597517711
"Jammu , Kashmir",2022,4,Udhampur District,1227109,2035000647
"Jammu , Kashmir",2022,4,Bandipore District,451513,626896193.7
"Jammu , Kashmir",2022,4,Reasi District,700011,1146621585
"Jammu , Kashmir",2022,4,Shopian District,402989,610805803.9
"Jammu , Kashmir",2022,4,Poonch District,538857,1050594399
"Jammu , Kashmir",2022,4,Kathua District,1035799,1765328885
"Jammu , Kashmir",2022,4,Kishtwar District,283374,387202223.6
"Jammu , Kashmir",2022,4,Pulwama District,963378,1594427876
"Jammu , Kashmir",2022,4,Ramban District,438060,692350601.4
"Jammu , Kashmir",2022,4,Rajouri District,726588,1476623503
"Jammu , Kashmir",2022,4,Kulgam District,654424,837066487.4
"Jammu , Kashmir",2022,4,Budgam District,1306982,1932170616
"Jammu , Kashmir",2022,4,Anantnag District,1338553,1684090754
"Jammu , Kashmir",2022,4,Kupwara District,1219778,1804597459
Jharkhand,2018,1,Ramgarh District,97459,85844869.66
Jharkhand,2018,1,Ranchi District,356622,434234048.5
Jharkhand,2018,1,East Singhbhum District,220276,257229540.7
Jharkhand,2018,1,Jamtara District,21925,37530176.98
Jharkhand,2018,1,Dumka District,37867,33366389.64
Jharkhand,2018,1,Koderma District,58922,76001334.68
Jharkhand,2018,1,Hazaribagh District,150709,171297280.2
Jharkhand,2018,1,Simdega District,6739,9328083.907
Jharkhand,2018,1,Garhwa District,47858,105426064.8
Jharkhand,2018,1,Saraikela Kharsawan District,83449,74573902.82
Jharkhand,2018,1,Gumla District,12079,15422722.31
Jharkhand,2018,1,Chatra District,28364,48808252.91
Jharkhand,2018,1,Khunti District,10377,12238451.41
Jharkhand,2018,1,Dhanbad District,340878,271973005.3
Jharkhand,2018,1,Godda District,36994,36033979.37
Jharkhand,2018,1,Deoghar District,70058,91100585.74
Jharkhand,2018,1,Palamu District,84608,128141542.3
Jharkhand,2018,1,Latehar District,20416,35121829.7
Jharkhand,2018,1,West Singhbhum District,34197,38008802.04
Jharkhand,2018,1,Pakur District,17321,10639883.9
Jharkhand,2018,1,Lohardaga District,15716,16349311.33
Jharkhand,2018,1,Sahebganj District,30741,44038697.07
Jharkhand,2018,1,Giridih District,131905,131409945.9
Jharkhand,2018,1,Bokaro District,263441,210067688.8
Jharkhand,2018,2,Ramgarh District,120655,173725384
Jharkhand,2018,2,Ranchi District,501072,820976014.2
Jharkhand,2018,2,East Singhbhum District,323829,467008622.3
Jharkhand,2018,2,Jamtara District,33336,65954452.97
Jharkhand,2018,2,Dumka District,52730,62513760.31
Jharkhand,2018,2,Koderma District,78447,157457238.2
Jharkhand,2018,2,Hazaribagh District,214298,371520189.3
Jharkhand,2018,2,Simdega District,9842,19536971.87
Jharkhand,2018,2,Garhwa District,80546,248149219.8
Jharkhand,2018,2,Saraikela Kharsawan District,117686,128312051.6
Jharkhand,2018,2,Gumla District,18470,30300849.44
Jharkhand,2018,2,Chatra District,42721,103935683.2
Jharkhand,2018,2,Khunti District,14808,24028506.19
Jharkhand,2018,2,Dhanbad District,520547,503649314.1
Jharkhand,2018,2,Godda District,55790,94877071.6
Jharkhand,2018,2,Deoghar District,96438,148363954.8
Jharkhand,2018,2,Palamu District,131021,325976624.8
Jharkhand,2018,2,Latehar District,31244,78012578.85
Jharkhand,2018,2,West Singhbhum District,49609,69912383
Jharkhand,2018,2,Pakur District,24613,32269216.25
Jharkhand,2018,2,Lohardaga District,20959,31539375.17
Jharkhand,2018,2,Sahebganj District,44517,97661893.23
Jharkhand,2018,2,Giridih District,172783,267172044.9
Jharkhand,2018,2,Bokaro District,396119,398722259
Jharkhand,2018,3,Ramgarh District,264474,310366602.6
Jharkhand,2018,3,Ranchi District,1040485,1373309866
Jharkhand,2018,3,East Singhbhum District,716556,825516934
Jharkhand,2018,3,Jamtara District,73849,76580887.25
Jharkhand,2018,3,Dumka District,151655,133011457.1
Jharkhand,2018,3,Koderma District,138942,249949409.5
Jharkhand,2018,3,Hazaribagh District,542701,663718370.7
Jharkhand,2018,3,Simdega District,13726,25648369.73
Jharkhand,2018,3,Garhwa District,108433,336403685.7
Jharkhand,2018,3,Saraikela Kharsawan District,290800,265695487.7
Jharkhand,2018,3,Gumla District,25772,42595638.75
Jharkhand,2018,3,Chatra District,79849,174206860.2
Jharkhand,2018,3,Khunti District,21153,44676454.34
Jharkhand,2018,3,Dhanbad District,2064271,1383326535
Jharkhand,2018,3,Godda District,74223,125755382.4
Jharkhand,2018,3,Deoghar District,152113,198908051.9
Jharkhand,2018,3,Palamu District,166304,405648506.5
Jharkhand,2018,3,Latehar District,44859,121527383.2
Jharkhand,2018,3,West Singhbhum District,79053,112805093.2
Jharkhand,2018,3,Pakur District,40103,53635968.33
Jharkhand,2018,3,Lohardaga District,29529,51299901.6
Jharkhand,2018,3,Sahebganj District,63020,126227082.3
Jharkhand,2018,3,Giridih District,334079,457115389.4
Jharkhand,2018,3,Bokaro District,1606672,1103642101
Jharkhand,2018,4,Ramgarh District,245189,412829670.9
Jharkhand,2018,4,Ranchi District,997887,1817673936
Jharkhand,2018,4,East Singhbhum District,616640,990453488.2
Jharkhand,2018,4,Jamtara District,69899,88236099.31
Jharkhand,2018,4,Dumka District,108716,130199956.4
Jharkhand,2018,4,Koderma District,145018,347563723.9
Jharkhand,2018,4,Hazaribagh District,454790,843013094.1
Jharkhand,2018,4,Simdega District,19546,44876911.68
Jharkhand,2018,4,Garhwa District,150200,498426272.6
Jharkhand,2018,4,Saraikela Kharsawan District,242853,296733243.2
Jharkhand,2018,4,Gumla District,35436,74139877.46
Jharkhand,2018,4,Chatra District,99556,275373551.3
Jharkhand,2018,4,Khunti District,27189,58660541.43
Jharkhand,2018,4,Dhanbad District,1062585,1128043528
Jharkhand,2018,4,Godda District,111530,195266208.6
Jharkhand,2018,4,Deoghar District,152383,236116834
Jharkhand,2018,4,Palamu District,234378,620094977.6
Jharkhand,2018,4,Latehar District,69590,215459501.8
Jharkhand,2018,4,West Singhbhum District,94778,161602065.2
Jharkhand,2018,4,Pakur District,58677,76373283.19
Jharkhand,2018,4,Lohardaga District,35604,81171963.13
Jharkhand,2018,4,Sahebganj District,88654,175686520.2
Jharkhand,2018,4,Giridih District,364032,575695972
Jharkhand,2018,4,Bokaro District,798913,898225421.3
Jharkhand,2019,1,Ramgarh District,349693,489903880.8
Jharkhand,2019,1,Ranchi District,1958897,3112736131
Jharkhand,2019,1,East Singhbhum District,909285,1244357275
Jharkhand,2019,1,Jamtara District,92090,106210459.8
Jharkhand,2019,1,Dumka District,161100,170044993.1
Jharkhand,2019,1,Koderma District,206484,382615731.9
Jharkhand,2019,1,Hazaribagh District,658381,1096533637
Jharkhand,2019,1,Simdega District,21230,49042353.8
Jharkhand,2019,1,Garhwa District,189007,622547866.7
Jharkhand,2019,1,Saraikela Kharsawan District,395831,376316821.2
Jharkhand,2019,1,Gumla District,44668,89190224.5
Jharkhand,2019,1,Chatra District,139459,349699444
Jharkhand,2019,1,Khunti District,36962,76762554.14
Jharkhand,2019,1,Dhanbad District,1390250,1330543703
Jharkhand,2019,1,Godda District,193681,262228609.8
Jharkhand,2019,1,Deoghar District,204610,311986223.3
Jharkhand,2019,1,Palamu District,336935,875063883.8
Jharkhand,2019,1,Latehar District,105495,304872788.7
