States,Year,Quarter,District,Trans_Counts,Amount
Andhra Pradesh,2018,2,Visakhapatnam District,1641192,2987853607
Andhra Pradesh,2018,2,Prakasam District,739991,1571167562
Andhra Pradesh,2018,2,Anantapur District,937023,1690366079
Andhra Pradesh,2018,2,Ysr District,690842,1415500368
Andhra Pradesh,2018,2,West Godavari District,786033,1688025212
Andhra Pradesh,2018,2,Kurnool District,968439,1531888666
Andhra Pradesh,2018,2,Chittoor District,1185723,1990419126
Andhra Pradesh,2018,2,Guntur District,1088101,2108475812
Andhra Pradesh,2018,2,Krishna District,1224987,2448141593
Andhra Pradesh,2018,3,East Godavari District,3226907,3551247095
Andhra Pradesh,2018,3,Srikakulam District,1073883,1318322237
Andhra Pradesh,2018,3,Spsr Nellore District,1308890,2215938596
Andhra Pradesh,2018,3,Vizianagaram District,970132,1163546007
Andhra Pradesh,2018,3,Visakhapatnam District,3394576,4821892253
Andhra Pradesh,2018,3,Prakasam District,1319651,2346453445
Andhra Pradesh,2018,3,Anantapur District,1815215,2681787750
Andhra Pradesh,2018,3,Ysr District,1557444,2235904512
Andhra Pradesh,2018,3,West Godavari District,1431282,2309078493
Andhra Pradesh,2018,3,Kurnool District,2921189,2908389262
Andhra Pradesh,2018,3,Chittoor District,2297429,3283517631
Andhra Pradesh,2018,3,Guntur District,1912529,3127764663
Andhra Pradesh,2018,3,Krishna District,2396934,3754202654
Andhra Pradesh,2018,4,East Godavari District,3052762,4652624623
Andhra Pradesh,2018,4,Srikakulam District,1252807,1870278610
Andhra Pradesh,2018,4,Spsr Nellore District,1814997,3293448557
Andhra Pradesh,2018,4,Vizianagaram District,1386787,1817673253
Andhra Pradesh,2018,4,Visakhapatnam District,4791421,7366635865
Andhra Pradesh,2018,4,Prakasam District,1692862,3255254226
Andhra Pradesh,2018,4,Anantapur District,2286391,3975878156
Andhra Pradesh,2018,4,Ysr District,1732527,3252340063
Andhra Pradesh,2018,4,West Godavari District,1688482,3237504255
Andhra Pradesh,2018,4,Kurnool District,2508530,3626544852
Andhra Pradesh,2018,4,Chittoor District,3166201,4979093890
Andhra Pradesh,2018,4,Guntur District,2546620,4730251218
Andhra Pradesh,2018,4,Krishna District,2839161,5416251838
Andhra Pradesh,2019,1,East Godavari District,5440146,7382264725
Andhra Pradesh,2019,1,Srikakulam District,2526855,3407912878
Andhra Pradesh,2019,1,Spsr Nellore District,3333584,5161932216
Andhra Pradesh,2019,1,Vizianagaram District,2798241,3364576948
Andhra Pradesh,2019,1,Visakhapatnam District,9690866,13459857441
Andhra Pradesh,2019,1,Prakasam District,2931081,4807527779
Andhra Pradesh,2019,1,Anantapur District,3891336,6044730653
Andhra Pradesh,2019,1,Ysr District,2852197,4915811594
Andhra Pradesh,2019,1,West Godavari District,2829437,4623764455
Andhra Pradesh,2019,1,Kurnool District,4193432,5541564893
Andhra Pradesh,2019,1,Chittoor District,6486813,8223371732
Andhra Pradesh,2019,1,Guntur District,4846553,7765934169
Andhra Pradesh,2019,1,Krishna District,5443981,9061346433
Andhra Pradesh,2019,2,East Godavari District,4699261,9116404622
Andhra Pradesh,2019,2,Srikakulam District,2019203,4066576540
Andhra Pradesh,2019,2,Spsr Nellore District,3141891,6880873007
Andhra Pradesh,2019,2,Vizianagaram District,2272320,4443041665
Andhra Pradesh,2019,2,Visakhapatnam District,11705738,20797479804
Andhra Pradesh,2019,2,Prakasam District,2670529,6262396448
Andhra Pradesh,2019,2,Anantapur District,3578836,7830782361
Andhra Pradesh,2019,2,Ysr District,2606284,6376856828
Andhra Pradesh,2019,2,West Godavari District,2402074,5676818259
Andhra Pradesh,2019,2,Kurnool District,3895824,7358285187
Andhra Pradesh,2019,2,Chittoor District,5983308,10982727976
Andhra Pradesh,2019,2,Guntur District,5005275,10405246943
Andhra Pradesh,2019,2,Krishna District,6428472,13437029116
Andhra Pradesh,2019,3,East Godavari District,6537303,11387726471
Andhra Pradesh,2019,3,Srikakulam District,2556296,4610131290
Andhra Pradesh,2019,3,Spsr Nellore District,4150195,8256600119
Andhra Pradesh,2019,3,Vizianagaram District,2861581,4922069039
Andhra Pradesh,2019,3,Visakhapatnam District,16694947,26944837120
Andhra Pradesh,2019,3,Prakasam District,3430750,7354502261
Andhra Pradesh,2019,3,Anantapur District,4889720,9554081289
Andhra Pradesh,2019,3,Ysr District,3296586,7447544274
Andhra Pradesh,2019,3,West Godavari District,3179541,6627629029
Andhra Pradesh,2019,3,Kurnool District,5139134,9025632779
Andhra Pradesh,2019,3,Chittoor District,8201783,13837455759
Andhra Pradesh,2019,3,Guntur District,6942304,13075661264
Andhra Pradesh,2019,3,Krishna District,8408474,16404073561
Andhra Pradesh,2019,4,East Godavari District,9285739,16816774065
Andhra Pradesh,2019,4,Srikakulam District,3712555,6832369302
Andhra Pradesh,2019,4,Spsr Nellore District,5877804,11786014089
Andhra Pradesh,2019,4,Vizianagaram District,3998234,7175851807
Andhra Pradesh,2019,4,Visakhapatnam District,23594874,39133296330
Andhra Pradesh,2019,4,Prakasam District,4865473,10604077825
Andhra Pradesh,2019,4,Anantapur District,6764112,13887248889
Andhra Pradesh,2019,4,Ysr District,4793157,10865073856
Andhra Pradesh,2019,4,West Godavari District,4596479,9710614747
Andhra Pradesh,2019,4,Kurnool District,7001958,13233105729
Andhra Pradesh,2019,4,Chittoor District,11246986,19298476028
Andhra Pradesh,2019,4,Guntur District,9761330,18565626418
Andhra Pradesh,2019,4,Krishna District,11719402,23039786404
Andhra Pradesh,2020,1,East Godavari District,11346242,21854701379
Andhra Pradesh,2020,1,Srikakulam District,4835092,9777575594
Andhra Pradesh,2020,1,Spsr Nellore District,7430247,15387829694
Andhra Pradesh,2020,1,Vizianagaram District,5042066,9879174241
Andhra Pradesh,2020,1,Visakhapatnam District,27115031,48809747615
Andhra Pradesh,2020,1,Prakasam District,6318396,14169104765
Andhra Pradesh,2020,1,Anantapur District,8466129,17864325753
Andhra Pradesh,2020,1,Ysr District,6031255,14059924637
Andhra Pradesh,2020,1,West Godavari District,5919670,12995834341
Andhra Pradesh,2020,1,Kurnool District,8246869,17022710312
Andhra Pradesh,2020,1,Chittoor District,13257740,23441848567
Andhra Pradesh,2020,1,Guntur District,11493331,22992734621
Andhra Pradesh,2020,1,Krishna District,12175289,24481702771
Andhra Pradesh,2020,2,East Godavari District,13130334,26319906327
Andhra Pradesh,2020,2,Srikakulam District,6425515,12153650077
Andhra Pradesh,2020,2,Spsr Nellore District,9454274,20665376461
Andhra Pradesh,2020,2,Vizianagaram District,6690313,12819344390
Andhra Pradesh,2020,2,Visakhapatnam District,25300401,48293889917
Andhra Pradesh,2020,2,Prakasam District,8844580,19846026727
Andhra Pradesh,2020,2,Anantapur District,10473739,22094006659
Andhra Pradesh,2020,2,Ysr District,8033609,19597207268
Andhra Pradesh,2020,2,West Godavari District,7273096,16585866855
Andhra Pradesh,2020,2,Kurnool District,9821381,22419372062
Andhra Pradesh,2020,2,Chittoor District,14848197,27361300300
