States,Year,Quarter,District,Trans_Counts,Amount
Rajasthan,2020,1,Alwar,5046369,9090012850
Rajasthan,2020,1,Jodhpur,3807384,7642170734
Rajasthan,2020,1,Kota,3282916,4272102864
Rajasthan,2020,1,Bhilwara,2976581,5578143402
Rajasthan,2020,1,Sikar,2898431,6198159589
Rajasthan,2020,1,Udaipur,2735381,3947849173
Rajasthan,2020,1,Ajmer,2642400,5228150511
Rajasthan,2020,1,Dausa,2290731,3676225560
Rajasthan,2020,1,Nagaur,1885285,4010256397
Rajasthan,2020,2,Jaipur,43871862,88270816978
Rajasthan,2020,2,Alwar,5981709,10239649720
Rajasthan,2020,2,Jodhpur,3972317,7649652332
Rajasthan,2020,2,Sikar,3448263,6813435570
Rajasthan,2020,2,Bhilwara,3144077,5583955261
Rajasthan,2020,2,Dausa,2849821,4537835886
Rajasthan,2020,2,Kota,2674020,4271159445
Rajasthan,2020,2,Ajmer,2539677,4723275737
Rajasthan,2020,2,Nagaur,2506689,4856436699
Rajasthan,2020,2,Udaipur,2293910,3491313531
Rajasthan,2020,3,Jaipur,71797182,1.38E+11
Rajasthan,2020,3,Alwar,7995044,14617913028
Rajasthan,2020,3,Jodhpur,6262826,13714122198
Rajasthan,2020,3,Bhilwara,4656173,9414793216
Rajasthan,2020,3,Sikar,4567655,9916206322
Rajasthan,2020,3,Kota,4442791,8027789841
Rajasthan,2020,3,Ajmer,3910137,8288212744
Rajasthan,2020,3,Udaipur,3836995,6351934008
Rajasthan,2020,3,Dausa,3552220,5920927936
Rajasthan,2020,3,Nagaur,3048026,6903346685
Rajasthan,2020,4,Jaipur,82378485,1.60E+11
Rajasthan,2020,4,Alwar,10874361,21064630283
Rajasthan,2020,4,Jodhpur,8568947,19107841742
Rajasthan,2020,4,Bhilwara,6669204,13765886969
Rajasthan,2020,4,Sikar,6635869,15551286577
Rajasthan,2020,4,Kota,6392503,11328763287
Rajasthan,2020,4,Ajmer,5843422,12526263261
Rajasthan,2020,4,Udaipur,5631994,9376663714
Rajasthan,2020,4,Nagaur,4447471,10913756198
Rajasthan,2020,4,Bikaner,4005208,8393453473
Rajasthan,2021,1,Jaipur,125917532,2.24E+11
Rajasthan,2021,1,Alwar,12041829,23497000298
Rajasthan,2021,1,Jodhpur,11409882,24774598219
Rajasthan,2021,1,Kota,9133910,15546647728
Rajasthan,2021,1,Bhilwara,7672484,16416337442
Rajasthan,2021,1,Sikar,7581768,17303999484
